symbol,timeframe,slice_combination,window,diagnostic_status,window_start_utc,window_end_utc,window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_n,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_n,best_parent_mean_ret_costadj,excess_vs_best_parent,best_parent_p_value_nw
DOT/USD,1d,state_ext=stretched_up + state_vol=low_vol,calendar_2024,ok,2024-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,366,18,0.031070178751397098,0.6666666666666666,1.0577060237484377,0.2901894881502989,False,366,-0.004460828339857393,0.03553100709125449,state_vol=low_vol,78,0.015415588073445138,0.01565459067795196,0.3387138975599826
DOT/USD,1d,state_ext=stretched_up + state_vol=low_vol,calendar_2025,ok,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00,365,18,0.07222258684284873,0.8333333333333334,4.30480644764872,1.6713179320726468e-05,True,365,0.012580249761879448,0.05964233708096928,state_ext=stretched_up,101,0.03528277329009223,0.036939813552756495,0.008441295453992526
DOT/USD,1d,state_ext=stretched_up + state_vol=low_vol,calendar_2026_ytd,ok,2026-01-01 00:00:00+00:00,2026-07-06 00:00:00+00:00,187,10,0.03613306162885105,0.7,2.0651521315550463,0.038908608118511046,False,187,0.02077561420030641,0.015357447428544637,state_ext=stretched_up,47,0.029099888447178934,0.007033173181672115,0.013150707964636688
DOT/USD,1d,state_ext=stretched_up + state_vol=low_vol,latest_12m,ok,2025-07-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,366,21,0.049317319809797776,0.7142857142857143,3.5190389652434204,0.0004331130904706715,True,366,0.0152415253949752,0.03407579441482257,state_ext=stretched_up,100,0.030316903058621704,0.019000416751176072,0.01575001204703219
DOT/USD,1d,state_ext=stretched_up + state_vol=low_vol,latest_6m,ok,2026-01-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,182,10,0.03613306162885105,0.7,2.0651521315550463,0.038908608118511046,False,182,0.021470593796527854,0.014662467832323195,state_ext=stretched_up,42,0.03310245172686142,0.0030306099019896254,0.007580671903578473
SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,all,ok,2021-07-23 00:00:00+00:00,2026-07-06 00:00:00+00:00,1810,70,0.0653445267769352,0.6714285714285714,3.503383150996001,0.00045938815665680366,True,1810,0.002635164102796181,0.06270936267413901,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,137,0.04373374824696738,0.021610778529967817,0.0009914926511318534
SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,calendar_2024,ok,2024-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,366,19,0.059965771573410494,0.631578947368421,1.651152307525889,0.0987074787443174,False,366,-0.013848739857466172,0.07381451143087667,cross_ETH/USD_state_slope=flat + state_ext=stretched_down,59,0.04378413861797791,0.01618163295543258,0.09058434798910175
SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,calendar_2025,ok,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00,365,17,0.11360421684994368,0.8823529411764706,4.082286156647843,4.459483948759946e-05,True,365,0.014850030023750602,0.09875418682619308,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,24,0.08936887925517649,0.02423533759476719,0.004657755909680761
SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,calendar_2026_ytd,ok,2026-01-01 00:00:00+00:00,2026-07-06 00:00:00+00:00,187,3,-0.02947360387108876,0.3333333333333333,-1.2593728916324136,0.20789567615916837,False,187,0.015255680497284442,-0.0447292843683732,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,16,0.02411116931098487,-0.053584773182073636,0.46064444735187227
SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,latest_12m,ok,2025-07-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,366,8,0.05054005323207304,0.625,1.7920396772621405,0.07312661051804348,False,366,0.013724386299877317,0.03681566693219573,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,16,0.042753499814553134,0.007786553417519909,0.15235303996702676
SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,latest_6m,ok,2026-01-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,182,3,-0.02947360387108876,0.3333333333333333,-1.2593728916324136,0.20789567615916837,False,182,0.01600008160562625,-0.045473685476715014,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,16,0.02411116931098487,-0.053584773182073636,0.46064444735187227
DOGE/USD,1d,cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_down,all,ok,2021-07-13 00:00:00+00:00,2026-07-06 00:00:00+00:00,1820,103,0.03890624872429156,0.6213592233009708,2.72038208211456,0.006520652367655089,True,1820,-0.003644332824151849,0.04255058154844341,state_ext=stretched_down,912,0.006325536406734067,0.03258071231755749,0.20653952708918455
DOGE/USD,1d,cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_down,calendar_2024,ok,2024-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,366,24,0.050999156624238484,0.6666666666666666,1.9313230702746882,0.05344311210675001,False,366,-0.029819365813415714,0.0808185224376542,state_ext=stretched_down,159,-0.004869444228183767,0.05586860085242225,0.6905902574482987
DOGE/USD,1d,cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_down,calendar_2025,ok,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00,365,24,0.04561835168779855,0.7083333333333334,2.2246917507760897,0.026101938436931427,True,365,0.007040626508879594,0.038577725178918956,cross_ETH/USD_state_ext=stretched_up,128,0.014660499495931064,0.030957852191867485,0.4668316566135744
DOGE/USD,1d,cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_down,calendar_2026_ytd,ok,2026-01-01 00:00:00+00:00,2026-07-06 00:00:00+00:00,187,6,0.00848394838940021,0.5,0.41456799088542556,0.678458184562376,False,187,0.015282126101373935,-0.0067981777119737255,state_ext=stretched_down,101,0.019972831587355078,-0.011488883197954868,0.07943333997326296
DOGE/USD,1d,cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_down,latest_12m,ok,2025-07-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,366,20,0.01066669064941086,0.55,0.6771809696805428,0.49829114048556944,False,366,0.008086028552968959,0.0025806620964419005,cross_ETH/USD_state_ext=stretched_up,128,0.017660376982999604,-0.006993686333588744,0.23550352851625966
DOGE/USD,1d,cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_down,latest_6m,ok,2026-01-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,182,6,0.00848394838940021,0.5,0.41456799088542556,0.678458184562376,False,182,0.016095289171325584,-0.007611340781925375,state_ext=stretched_down,101,0.019972831587355078,-0.011488883197954868,0.07943333997326296
SUSHI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,all,ok,2021-07-23 00:00:00+00:00,2026-07-06 00:00:00+00:00,1810,133,0.03961964476410822,0.6842105263157895,3.0973544193808986,0.0019525627475074359,True,1810,0.002635164102796181,0.03698448066131203,cross_ETH/USD_state_ext=neutral,250,0.02456804157648083,0.015051603187627386,0.021131200602832356
SUSHI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,calendar_2024,ok,2024-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,366,20,0.09667324590399952,0.75,2.7491205512868016,0.00597554046872073,True,366,-0.013848739857466172,0.11052198576146569,cross_ETH/USD_state_ext=neutral,35,0.0577878704204769,0.03888537548352262,0.026476920165709128
SUSHI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,calendar_2025,ok,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00,365,31,0.04946732108020061,0.7419354838709677,1.9273232682097652,0.05393935557587071,False,365,0.014850030023750602,0.034617291056450006,cross_ETH/USD_state_ext=neutral,41,0.05927028734018199,-0.00980296625998138,0.005093845300170319
SUSHI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,calendar_2026_ytd,ok,2026-01-01 00:00:00+00:00,2026-07-06 00:00:00+00:00,187,12,0.028005781995475248,0.5833333333333334,0.902181707730054,0.3669603502473746,False,187,0.015255680497284442,0.012750101498190806,state_ext=stretched_down,106,0.011602336421891157,0.016403445573584093,0.398495996598472
SUSHI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,latest_12m,ok,2025-07-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,366,30,0.024703148955329803,0.6333333333333333,1.004379770651912,0.3151955968693856,False,366,0.013724386299877317,0.010978762655452485,cross_ETH/USD_state_ext=neutral,57,0.01751680610699221,0.007186342848337593,0.3747693108383814
SUSHI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,latest_6m,ok,2026-01-06 00:00:00+00:00,2026-07-06 00:00:00+00:00,182,12,0.028005781995475248,0.5833333333333334,0.902181707730054,0.3669603502473746,False,182,0.01600008160562625,0.012005700389848998,state_ext=stretched_down,106,0.011602336421891157,0.016403445573584093,0.398495996598472
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,all,ok,2021-07-13 00:00:00+00:00,2026-07-06 00:00:00+00:00,1820,37,0.06977779628883064,0.7837837837837838,3.428941890341324,0.0006059392471411407,True,1820,-0.001741967162428133,0.07151976345125878,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,114,0.040874549168804106,0.028903247120026537,0.0007121765329369811
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,calendar_2024,ok,2024-01-01 00:00:00+00:00,2024-12-31 00:00:00+00:00,366,7,0.08200212792297981,0.7142857142857143,2.29198469526781,0.021906526342563737,False,366,-0.01850122254141336,0.10050335046439317,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,18,0.09993579134675229,-0.017933663423772478,0.0006402769941966646
