symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent,rank,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,best_fwd_horizon,search_wide_family_size_regime,search_wide_rank_regime,search_wide_bh_pass_regime,search_wide_bonferroni_pass_regime,research_shard_id,candidate_key,strict_gate_pass,status,live_decay_flag,not_regime_evaluated,all_regime_mean_ret_costadj,regime_excess_vs_all,regime_candidate_status
AVAX/USD,1d,cross_USO_state_ext=stretched_up + cross_TLT_state_slope=flat + state_ext=stretched_up,bear,BTC/USD,ok,481,4,-0.06144506638011984,0.0,-7.480698276459999,7.394085344003543e-14,False,0.004908754160857508,-0.06635382054097734,cross_USO_state_ext=stretched_up + cross_TLT_state_slope=flat,0.05658001217620633,-0.11802507855632617,39,rolling,4,short,rejected,late_emerging_valid_supported,55,False,32,True,0.0474161870929982,0.0432183946889552,cross_USO_state_ext=stretched_up + state_ext=stretched_up,0.0082102830707316,0.0150708413943168,0,0,0.0,0,7,6,6,7.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,3,True,True,crypto-1d-00,,False,,,False,0.03505038677856165,-0.0964954531586815,unsupported
ETH/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_slope=flat + state_ext=stretched_down,bear,BTC/USD,ok,481,38,0.08705432676488045,0.7368421052631579,2.497163474498847,0.012519122871439858,True,-0.0002810016380972383,0.0873353284029777,cross_USO_state_slope=uptrend + cross_TLT_state_slope=flat,0.06288737209235877,0.02416695467252168,29,rolling,4,short,rejected,late_emerging_valid_supported,56,False,56,True,0.0433647493729318,0.0454732971303554,cross_USO_state_slope=uptrend + cross_TLT_state_slope=flat,0.0177421290377038,0.017433884876943,0,0,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,17,False,False,crypto-1d-01,,False,,,False,0.03153192849024132,0.05552239827463913,regime_switching_research_only
SUSHI/USD,1d,state_ext=stretched_up + state_vol=high_vol,bear,BTC/USD,ok,481,17,0.0675146623376143,0.7647058823529411,2.452581573115404,0.014183521646185415,True,0.0029078217429439196,0.06460684059467038,state_vol=high_vol,0.02002580687449684,0.04748885546311746,41,rolling,4,short,rejected,late_emerging_valid_supported,112,False,25,True,0.0777095634046486,0.0679475498419516,state_vol=high_vol,0.0476631694672212,0.0002883802522126,0,0,0.0,0,7,7,7,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,3,136,18,False,False,crypto-1d-02,SUSHI/USD|1d|state_ext=stretched_up + state_vol=high_vol|rolling,False,research_only,False,False,0.0035254827547444864,0.06398917958286982,regime_switching_research_only
DOT/USD,1d,cross_USO_state_slope=downtrend + state_slope=flat,bear,BTC/USD,ok,223,19,0.06635566658293965,0.7368421052631579,2.7415350414904953,0.006115283754324352,True,0.011264956948685099,0.05509070963425455,state_slope=flat,0.030580432754195305,0.03577523382874434,5,rolling,4,short,rejected,late_emerging_recent_only,67,False,22,True,0.071535641221098,0.0556999344081442,cross_USO_state_slope=downtrend,0.0532752410076836,0.0009526205232166,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,13,False,False,crypto-1d-01,,False,,,False,0.02684872159217251,0.03950694499076714,regime_switching_research_only
BCH/USD,1d,cross_USO_state_slope=downtrend + cross_TLT_state_ext=neutral + state_ext=stretched_down,bear,BTC/USD,ok,481,35,0.06117580294134276,0.7428571428571429,2.179782369575022,0.02927359741306801,True,0.0012414836365081344,0.05993431930483463,cross_USO_state_slope=downtrend + cross_TLT_state_ext=neutral,0.023900645349617777,0.037275157591724985,36,rolling,4,short,rejected,late_emerging_valid_supported,56,False,55,True,0.0386491609214138,0.0388685472029628,cross_USO_state_slope=downtrend + cross_TLT_state_ext=neutral,0.0195951948194349,0.0491790447271935,0,0,0.0,0,8,8,5,7.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,23,False,False,crypto-1d-00,,False,,,False,0.012598585170793573,0.048577217770549186,regime_switching_research_only
BTC/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_slope=flat + state_ext=stretched_down,bear,BTC/USD,ok,481,34,0.059109519515884924,0.7647058823529411,2.32994129029151,0.019809254313090552,True,0.0006290702691403881,0.05848044924674454,cross_USO_state_slope=uptrend + cross_TLT_state_slope=flat,0.0516946978883527,0.007414821627532223,27,rolling,4,short,rejected,late_emerging_valid_supported,44,False,44,True,0.0308287369210237,0.0319024151709451,cross_TLT_state_slope=flat + state_ext=stretched_down,0.0169372849566852,0.0426729754685064,0,0,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,21,False,False,crypto-1d-00,,False,,,False,0.02149869712207811,0.037610822393806816,regime_switching_research_only
SOL/USD,1d,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=uptrend + state_ext=stretched_down,bear,BTC/USD,ok,452,37,0.055967820613659784,0.6486486486486487,2.578499434807309,0.009923046207748198,True,-0.005880906829851569,0.06184872744351135,cross_USO_state_ext=stretched_down + state_ext=stretched_down,0.033947692182803586,0.022020128430856198,23,rolling,4,long,rejected,late_emerging_recent_only,75,False,22,True,0.0389201405168049,0.048709347276424,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=uptrend,0.0156203681306369,0.0059706078218679,1,1,0.25,0,8,7,7,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,16,False,False,crypto-1d-02,,False,,,False,0.014425632703033073,0.04154218791062671,regime_switching_research_only
AAVE/USD,1d,cross_USO_state_slope=downtrend + state_slope=uptrend,bear,BTC/USD,ok,481,52,0.04858277703149478,0.6538461538461539,2.130905124166554,0.033096959162846495,True,0.009403211926236525,0.03917956510525825,cross_USO_state_slope=downtrend,0.020557142818652237,0.028025634212842543,11,rolling,4,long,rejected,late_emerging_valid_supported,112,False,62,True,0.0395236006769547,0.049026512332085,state_slope=uptrend,0.028736319116366,0.0376468808090892,1,10,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,25,False,False,crypto-1d-00,,False,,,False,0.01830519713833919,0.03027757989315559,regime_switching_research_only
LINK/USD,1d,cross_USO_state_slope=uptrend + cross_TLT_state_slope=flat + state_ext=stretched_down,bear,BTC/USD,ok,481,32,0.04733893759158718,0.6875,2.00944742963293,0.04448970453974388,True,-0.0007248121954760898,0.04806374978706327,cross_USO_state_slope=uptrend + cross_TLT_state_slope=flat,0.036254762965055115,0.011084174626532065,30,rolling,4,short,rejected,late_emerging_valid_supported,39,False,51,True,0.038617781104938,0.0370195514109375,cross_USO_state_slope=uptrend + cross_TLT_state_slope=flat,0.0148576405342674,0.0420864132024434,0,0,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,28,False,False,crypto-1d-01,,False,,,False,0.0324010619233034,0.014937875668283779,regime_switching_research_only
CRV/USD,1d,cross_USO_state_slope=uptrend + state_slope=downtrend,bear,BTC/USD,ok,223,36,0.047325130757661746,0.6944444444444444,2.130879262525832,0.033099090221113237,True,-0.0061788542615246475,0.05350398501918639,cross_USO_state_slope=uptrend,0.008403627902806741,0.038921502854855,3,rolling,4,short,rejected,late_emerging_regime_switching,82,False,43,True,0.0432730475581193,0.031558458660497,cross_USO_state_slope=uptrend,0.0225960987503141,0.0416163866340433,2,11,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,5,136,26,False,False,crypto-1d-01,,False,,,False,0.03896647228415045,0.008358658473511298,regime_switching_research_only
