symbol,timeframe,slice_combination,sample_count,mean_fwd_ret_5,side,tradeable_mean_fwd_ret_5,win_rate,mean_mfe_5,mean_mae_5,fwd_ret_ratio
AVAX/USD,1h,state_weekpart=weekend + state_ext=stretched_down + state_vol=high_vol,93,0.0106212189398687,long,0.0106212189398687,0.6451612903225806,0.0285195337861582,-0.0165911132239998,0.4357008592164701
AAVE/USD,1h,state_ret_day=ret_day_up + state_ext=stretched_down + state_slope=flat,18,0.0105662125905528,long,0.0105662125905528,0.6111111111111112,0.0249896269373149,-0.0112904752954698,0.4097148574332497
SUSHI/USD,1h,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_down + state_ext=neutral,28,0.0105002363548111,long,0.0105002363548111,0.6428571428571429,0.0781409842978882,-0.0178767962930775,0.2289438791907144
ADA/USD,1h,state_utc_session=utc_europe + state_ext=stretched_down + state_slope=flat,26,-0.010074268600636,short,0.010074268600636,0.2307692307692307,0.0125111343543742,-0.0198813852747111,-0.6335780731377475
DOT/USD,1h,state_ret_day=ret_day_up + state_ext=neutral + state_slope=downtrend,59,-0.0100015013739273,short,0.0100015013739273,0.1864406779661017,0.0204220315936555,-0.0220623684894174,-0.604411835268393
ADA/USD,1h,cross_BTC/USD_state_slope=uptrend + state_slope=downtrend,28,-0.0099829163518531,short,0.0099829163518531,0.1428571428571428,0.0062090158425639,-0.0162360766793809,-0.9141457134297496
ADA/USD,1h,cross_ETH/USD_state_slope=downtrend + state_ext=stretched_up,15,-0.0099045801229118,short,0.0099045801229118,0.3333333333333333,0.0108001036054298,-0.0196062004222825,-0.5027729376236959
SOL/USD,1h,state_ret_day=ret_day_flat + state_ext=stretched_up + state_slope=uptrend,798,0.0097897817228152,long,0.0097897817228152,0.5125313283208021,0.0283101932049744,-0.0183457920659084,0.0390235317272376
ADA/USD,1h,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,28,-0.0097870792259378,short,0.0097870792259378,0.1428571428571428,0.0082165948043356,-0.017422914696156,-0.6913526646189528
ADA/USD,1h,state_weekpart=weekend + state_ext=stretched_up + state_vol=mid_vol,17,-0.0097030311529433,short,0.0097030311529433,0.1176470588235294,0.0121952930700146,-0.018976791052414,-0.8930922512352003
BCH/USD,1h,state_ret_day=ret_day_flat + state_ext=stretched_down + state_slope=flat,35,-0.0095991499963891,short,0.0095991499963891,0.4,0.0152120051322129,-0.0250770655322111,-0.4534315536712415
DOGE/USD,1h,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down,16,0.0095342758965935,long,0.0095342758965935,0.625,0.0199678347285962,-0.0133675532380176,0.3173581432163406
XRP/USD,1h,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_slope=downtrend + state_ext=stretched_up,37,0.0095150179656989,long,0.0095150179656989,0.4594594594594595,0.0240689967055428,-0.0147632041869679,0.2635032533004846
ADA/USD,1h,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,81,-0.0094879848086316,short,0.0094879848086316,0.3580246913580246,0.0117371401367636,-0.0220216517937746,-0.3486862052365177
UNI/USD,1h,state_ret_day=ret_day_down + state_ext=stretched_up + state_slope=uptrend,139,0.0092492890042306,long,0.0092492890042306,0.60431654676259,0.0619026798268112,-0.0294696474590294,0.2535909793141199
CRV/USD,1h,state_weekpart=weekend + state_ext=stretched_down + state_vol=high_vol,74,-0.0092370905324573,short,0.0092370905324573,0.4054054054054054,0.0316914608452948,-0.0264037603669951,-0.243157166177979
XRP/USD,1h,state_utc_session=utc_europe + state_ext=stretched_down + state_slope=uptrend,16,0.0091235137393774,long,0.0091235137393774,0.6875,0.0278498954761979,-0.0150238587008254,0.3498169777967585
SUSHI/USD,1h,state_utc_session=utc_asia + state_ext=stretched_down + state_slope=uptrend,78,0.0089922762948396,long,0.0089922762948396,0.6025641025641025,0.0527785771856848,-0.0190003357246787,0.2940886035958922
LINK/USD,1h,state_ret_day=ret_day_up + state_ext=neutral + state_slope=downtrend,53,-0.0088929024572155,short,0.0088929024572155,0.3018867924528302,0.0372982227869993,-0.0212702581372912,-0.4526178888600481
LINK/USD,1h,state_ext=stretched_down + state_slope=uptrend,16,-0.0088373240064631,short,0.0088373240064631,0.375,0.0207127103245823,-0.0235601998431101,-0.4018953186343973
LINK/USD,1h,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_slope=downtrend + state_ext=stretched_up,32,-0.0088169337013391,short,0.0088169337013391,0.40625,0.0191090880155361,-0.023291907208886,-0.3633826616073697
SUSHI/USD,1h,state_ret_day=ret_day_up + state_ext=stretched_up + state_slope=downtrend,61,-0.0087712558262781,short,0.0087712558262781,0.4098360655737705,0.0269374873519542,-0.0349886916785302,-0.2248054445414234
