symbol,timeframe,slice_combination,side,bin_mode,overall_regime_status,best_regime,best_regime_mean_ret_costadj,best_regime_p_value_nw,triage_bucket,valid_n,valid_mean_ret_costadj,valid_p_value_nw,walk_forward_pass_pattern,search_wide_bh_pass,search_wide_bonferroni_pass,source_note
XRP/USD,1d,cross_BTC/USD_state_vol=mid_vol + state_ext=neutral,short,rolling,bear_regime_candidate,bear,0.04167496353558097,3.2875924205200135e-12,late_emerging_recent_only,25,0.0307171381588781,5.588924800381534e-05,1,True,False,bear_regime_candidate
AVAX/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,rolling,bull_regime_candidate,bull,0.05643538852463279,4.417589545280265e-07,late_emerging_valid_supported,34,0.032967744556631,0.048281794407573,0,False,False,bull_regime_candidate
XRP/USD,1d,state_ext=neutral + state_vol=mid_vol,short,rolling,bear_regime_candidate,bear,0.03891688492666992,4.6845847267995566e-07,late_emerging_valid_supported,22,0.0521837680298311,5.946354519892338e-13,10,True,True,bear_regime_candidate
UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,short,rolling,bull_regime_candidate,bull,0.08970742293350129,8.55387615477099e-05,clean_survivor_wf_failed,16,0.0899569818910969,0.0025713913623424,0,True,False,bull_regime_candidate
UNI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,short,rolling,bull_regime_candidate,bull,0.07872155976480033,0.0001575852266286759,clean_survivor_wf_mixed,38,0.0511243129625828,0.0036454358170672,100,True,False,bull_regime_candidate
DOGE/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,short,rolling,bull_regime_candidate,bull,0.054606081779275624,0.00016829953825725497,late_emerging_valid_supported,44,0.0434842075357081,0.0391472346926629,10,False,False,bull_regime_candidate
LTC/USD,1d,cross_BTC/USD_state_slope=flat + state_ext=stretched_up,short,rolling,bull_regime_candidate,bull,0.02930401103313818,0.0002133729658209127,late_emerging_regime_switching,51,0.0237026746187543,0.0059105812899193,101,True,False,bull_regime_candidate
BCH/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,short,rolling,bull_regime_candidate,bull,0.05110335820884099,0.0005692600686653115,late_emerging_recent_only,27,0.0311457836043522,0.0003486143318518,1,True,False,bull_regime_candidate
SUSHI/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_up,short,rolling,bear_regime_candidate,bear,0.06595314389790344,0.0007659178928092203,late_emerging_valid_supported,32,0.0630936505741804,0.0061370236275695,0,True,False,bear_regime_candidate
DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,short,rolling,bear_regime_candidate,bear,0.05778570034028104,0.0014586064930375287,clean_survivor_wf_strong,42,0.0459195716136171,0.0063373458994897,1011,True,False,bear_regime_candidate
AAVE/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=downtrend,long,rolling,bull_regime_candidate,bull,0.09184981736439239,0.0022896545477510966,late_emerging_recent_only,41,0.0481066224644653,0.0029691760220762,1,True,False,bull_regime_candidate
AAVE/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=flat,short,rolling,bear_regime_candidate,bear,0.061181870942499335,0.004045359426254613,late_emerging_recent_only,66,0.0472470158878504,0.0002424650089447,1,True,False,bear_regime_candidate
LTC/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_up,short,rolling,bull_regime_candidate,bull,0.04850958751327585,0.007020915385303361,late_emerging_recent_only,23,0.0405776285835524,0.0113416163666331,1,True,False,bull_regime_candidate
DOT/USD,1d,state_ext=stretched_up + state_vol=high_vol,short,rolling,neutral_regime_candidate,neutral,0.054666980050926454,2.3637598631776058e-06,late_emerging_regime_switching,29,0.0520715405075039,0.0001939052584718,11,True,False,neutral_regime_candidate
