regime,status,count
bull,regime_switching_research_only,71
bull,unsupported,45
bull,bull_regime_candidate,22
bear,unsupported,76
bear,regime_switching_research_only,59
bear,bear_regime_candidate,3
neutral,regime_switching_research_only,86
neutral,unsupported,50
neutral,neutral_regime_candidate,2
