symbol,timeframe,slice_combination,sample_count,mean_fwd_ret_5,side,tradeable_mean_fwd_ret_5,win_rate,mean_mfe_5,mean_mae_5,fwd_ret_ratio,research_shard_id
UNI/USD,1h,cross_USO_state_slope=downtrend + state_slope=uptrend,825,0.0007150316139426,long,0.0007150316139426,0.4557575757575757,0.0227487366811512,-0.0160533767644261,0.0285560119474929,crypto-1h-02
SOL/USD,1h,state_utc_session=utc_asia + state_funding=funding_neutral + state_ext=stretched_down,399,-0.0007148595372982,short,0.0007148595372982,0.4761904761904761,0.0184443106883355,-0.0192262941025712,-0.0339112640974503,crypto-1h-02
XRP/USD,1h,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=uptrend + state_ext=stretched_down,109,-0.0007140234955246,short,0.0007140234955246,0.5688073394495413,0.0168684586680838,-0.0361322183854075,-0.0174408068214842,crypto-1h-02
SOL/USD,1h,state_volume=vol_quiet + state_ext=stretched_down,1807,-0.0007106191040092,short,0.0007106191040092,0.509131156613171,0.0178268435057342,-0.0180001643657498,-0.0324579025519696,crypto-1h-02
UNI/USD,1h,state_utc_session=utc_us + state_ext=stretched_down,3546,0.0007105396007655,long,0.0007105396007655,0.5603496897913142,0.0328178378316194,-0.0216129633418871,0.0272527848762841,crypto-1h-02
LTC/USD,1h,state_ext=neutral + state_slope=flat,3161,-0.000710098540534,short,0.000710098540534,0.4849731097753875,0.010460868381117,-0.0099677627638008,-0.0560967840978272,crypto-1h-02
SUSHI/USD,1h,state_ext=stretched_down + state_slope=downtrend,8501,0.000709841499366,long,0.000709841499366,0.5337019174214799,0.0543560691133099,-0.0235096557541095,0.0210872928708855,crypto-1h-02
LTC/USD,1h,cross_USO_state_slope=flat + state_slope=uptrend,600,-0.000705432972419,short,0.000705432972419,0.495,0.0145000146816685,-0.0131159338104978,-0.0414574945436582,crypto-1h-02
UNI/USD,1h,cross_USO_state_slope=downtrend + state_slope=downtrend,969,-0.0007033357001906,short,0.0007033357001906,0.5510835913312694,0.02388261061683,-0.0193454677258544,-0.028729087875395,crypto-1h-02
XRP/USD,1h,cross_TLT_state_slope=downtrend + state_slope=downtrend,954,-0.0007022244588582,short,0.0007022244588582,0.480083857442348,0.0101451317473334,-0.0114505090907257,-0.0540386992589232,crypto-1h-02
SUSHI/USD,1h,state_funding=funding_short + state_oi=oi_building + state_ext=stretched_up,16,0.0007011590454303,long,0.0007011590454303,0.625,0.0208457583673206,-0.0173613368652151,0.0454075387061956,crypto-1h-02
UNI/USD,1h,state_utc_session=utc_europe + state_funding=funding_long + state_ext=stretched_up,267,0.0006979865029682,long,0.0006979865029682,0.4419475655430712,0.0302118404761664,-0.0231471486228293,0.0186807681266972,crypto-1h-02
XRP/USD,1h,state_ret_day=ret_day_down + state_ext=neutral + state_slope=downtrend,3130,-0.0006978263393459,short,0.0006978263393459,0.4878594249201278,0.0118548206077562,-0.0127836437833868,-0.0398146662318237,crypto-1h-02
SOL/USD,1h,cross_TLT_state_slope=downtrend + state_ext=stretched_up,386,-0.0006972741398995,short,0.0006972741398995,0.4559585492227979,0.0132966840904483,-0.0136731647716717,-0.0428860858860632,crypto-1h-02
LTC/USD,1h,cross_TLT_state_slope=downtrend + state_ext=stretched_down,337,0.0006971400369885,long,0.0006971400369885,0.5667655786350149,0.0153781215479874,-0.0135110584311514,0.0430339774715196,crypto-1h-02
XRP/USD,1h,state_ret_day=ret_day_flat + state_ext=stretched_down,234,-0.0006970280936637,short,0.0006970280936637,0.4871794871794871,0.0154769358941919,-0.0160017279400588,-0.0398738851358382,crypto-1h-02
SOL/USD,1h,state_weekpart=weekend + state_ext=neutral + state_vol=mid_vol,1064,0.0006967286925901,long,0.0006967286925901,0.5131578947368421,0.0164983955530405,-0.0150711285079324,0.0349279102257015,crypto-1h-02
SOL/USD,1h,state_ext=stretched_up + state_vol=high_vol,2295,0.0006950617122632,long,0.0006950617122632,0.485838779956427,0.0302583607169523,-0.0260695827075967,0.0182161655909025,crypto-1h-02
UNI/USD,1h,cross_TLT_state_ext=neutral + state_ext=neutral,5429,-0.0006947508019812,short,0.0006947508019812,0.4779885798489593,0.0175633335760076,-0.0157579612333617,-0.0358181456146628,crypto-1h-02
SOL/USD,1h,state_utc_session=utc_us + state_ext=stretched_down,2775,-0.0006926452043574,short,0.0006926452043574,0.5387387387387388,0.0224522176663609,-0.0234700124414657,-0.0262826758163279,crypto-1h-02
SOL/USD,1h,state_ext=stretched_up + state_vol=low_vol,2399,-0.0006913666446903,short,0.0006913666446903,0.4522717799082951,0.0159279048112692,-0.0155301600613087,-0.0340031541810096,crypto-1h-02
XRP/USD,1h,cross_TLT_state_ext=neutral + state_ext=neutral,6590,-0.0006913066573677,short,0.0006913066573677,0.4661608497723824,0.0099247026956092,-0.0102868294334507,-0.0508860150613634,crypto-1h-02
LTC/USD,1h,state_ret_day=ret_day_down + state_ext=stretched_down + state_slope=flat,56,0.0006904107174022,long,0.0006904107174022,0.5,0.0186257996535333,-0.0155880876539764,0.0317948524070131,crypto-1h-02
XRP/USD,1h,state_ret_day=ret_day_up + state_ext=neutral + state_slope=flat,1329,-0.0006893520898876,short,0.0006893520898876,0.4574868322046652,0.0101249100526731,-0.0106104021170791,-0.0454902648471919,crypto-1h-02
LTC/USD,1h,state_utc_session=utc_us + state_funding=funding_neutral + state_ext=neutral,915,-0.0006845253576792,short,0.0006845253576792,0.4896174863387978,0.0120299615653245,-0.0108880787179469,-0.044879535278556,crypto-1h-02
SUSHI/USD,1h,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=downtrend + state_ext=neutral,68,0.0006834959049408,long,0.0006834959049408,0.4558823529411764,0.0284691344878654,-0.01487298506205,0.0388422976300726,crypto-1h-02
SOL/USD,1h,state_funding=funding_long + state_ext=neutral,2289,-0.0006832270942929,short,0.0006832270942929,0.4888597640891219,0.0130195779750594,-0.0134440574101448,-0.0377077689440118,crypto-1h-02
XRP/USD,1h,cross_TLT_state_slope=uptrend + state_ext=neutral,1732,-0.0006801785110917,short,0.0006801785110917,0.4693995381062356,0.0099986271262734,-0.0099302834844792,-0.0497954587432956,crypto-1h-02
SUSHI/USD,1h,state_ret_day=ret_day_down + state_ext=neutral + state_slope=flat,2050,-0.0006800564867204,short,0.0006800564867204,0.5068292682926829,0.0419240361722877,-0.0192831391174952,-0.0264677503159662,crypto-1h-02
XRP/USD,1h,state_volume=vol_quiet + state_ext=stretched_up,780,0.0006795817816433,long,0.0006795817816433,0.4846153846153846,0.0155980100255633,-0.0137371164765087,0.0335474241363277,crypto-1h-02
LTC/USD,1h,state_funding=funding_short + state_oi=oi_flat + state_ext=neutral,973,-0.000673329152879,short,0.000673329152879,0.5097636176772867,0.0102272170656583,-0.0091775248210386,-0.0581473499022829,crypto-1h-02
SUSHI/USD,1h,state_utc_session=utc_asia + state_ext=neutral + state_slope=uptrend,1960,-0.0006731479486416,short,0.0006731479486416,0.463265306122449,0.0556632642158814,-0.0166906161308916,-0.0329881160435997,crypto-1h-02
UNI/USD,1h,state_utc_session=utc_europe + state_slope=downtrend,4271,0.0006730862608474,long,0.0006730862608474,0.4806836806368532,0.0303328960958417,-0.0208604563683697,0.0201209669588745,crypto-1h-02
UNI/USD,1h,state_utc_session=utc_us + state_ext=neutral + state_slope=flat,4192,0.0006693701450776,long,0.0006693701450776,0.5104961832061069,0.0401976949046119,-0.0136047978845505,0.0335022918705758,crypto-1h-02
UNI/USD,1h,state_utc_session=utc_us + state_slope=flat,5166,0.0006676013378605,long,0.0006676013378605,0.5120015485869145,0.0387088513488967,-0.0147490872732864,0.0315838570784431,crypto-1h-02
SOL/USD,1h,state_utc_session=utc_asia + state_funding=funding_long + state_ext=neutral,897,0.0006621894665107,long,0.0006621894665107,0.5183946488294314,0.0115008156484927,-0.0104174202269673,0.045402109054725,crypto-1h-02
SUSHI/USD,1h,state_ret_day=ret_day_up + state_ext=stretched_up,7538,-0.0006611446897979,short,0.0006611446897979,0.4595383390819846,0.0484506443331879,-0.0222079578902577,-0.0215091251497222,crypto-1h-02
LTC/USD,1h,state_ret_day=ret_day_down + state_ext=neutral,1793,-0.0006599711662454,short,0.0006599711662454,0.5025097601784718,0.0127093706835982,-0.0119831207668025,-0.0452816859007752,crypto-1h-02
UNI/USD,1h,state_funding=funding_neutral + state_oi=oi_flat + state_ext=stretched_up,348,-0.0006591310753153,short,0.0006591310753153,0.4195402298850574,0.0365917592144974,-0.0190030407211182,-0.0285909241444575,crypto-1h-02
SOL/USD,1h,state_ret_day=ret_day_flat + state_ext=neutral + state_slope=uptrend,1626,-0.0006587785116972,short,0.0006587785116972,0.4489544895448955,0.0180991990075926,-0.0157289335845307,-0.0299985243116247,crypto-1h-02
