symbol,timeframe,slice_combination,side,short_cost_bps,train_n,train_mean_ret_costadj,train_baseline_mean_ret_costadj,train_excess_vs_baseline,train_best_parent_filter,train_best_parent_mean_ret_costadj,train_excess_vs_best_parent,train_t_stat_nw,train_pass,valid_n,valid_mean_ret_costadj,valid_baseline_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_best_parent_mean_ret_costadj,valid_excess_vs_best_parent,valid_t_stat_nw,valid_p_value_nw,valid_pass,walk_forward_folds,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,survived,verdict
AVAX/USD,1d,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=downtrend + state_ext=stretched_down,short,0.0,210,0.002537424934194087,-0.0005957157160114652,0.003133140650205552,state_ext=stretched_down,0.00928394652791186,-0.006746521593717773,0.20077931154783865,False,132,0.02282651404442574,0.00876220690616812,0.01406430713825762,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=downtrend,0.021880279481596702,0.0009462345628290375,1.7552892296416422,0.07920984780445406,False,4,1,0001,0.25,False,rejected
LTC/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=downtrend + state_ext=neutral,long,0.0,18,0.018508648612378782,0.002993569778851529,0.015515078833527252,cross_ETH/USD_state_slope=downtrend + state_ext=neutral,0.01611026793174839,0.002398380680630391,0.9600073606077659,False,8,0.022802786181205938,-0.005140747021517272,0.02794353320272321,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=downtrend,0.013742118401733167,0.00906066777947277,2.0217041233320425,0.043206927649309446,False,4,0,0000,0.0,False,rejected
DOGE/USD,1d,state_ext=stretched_down + state_vol=mid_vol,short,0.0,147,-0.009317166552687472,-0.00922450313144912,-9.2663421238353e-05,state_ext=stretched_down,0.0022262024486542254,-0.011543369001341697,-0.9102075114756327,False,112,0.022783769673678896,0.009376064559541777,0.013407705114137119,state_ext=stretched_down,0.013765068404730815,0.009018701268948081,2.188807624239054,0.02861082535313031,True,4,0,0000,0.0,False,rejected
LTC/USD,1d,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=flat + state_ext=stretched_up,short,0.0,17,0.007283539114705046,-0.0033935697788515305,0.010677108893556577,cross_BTC/USD_state_ext=stretched_down + state_ext=stretched_up,0.02197049190970901,-0.014686952795003965,0.41491457319496283,False,4,0.022734610158940655,0.004740747021517269,0.017993863137423384,cross_BTC/USD_state_ext=stretched_down + state_ext=stretched_up,0.02949606110750671,-0.006761450948566054,0.7706984384691337,0.4408856977322304,False,4,0,0000,0.0,False,rejected
AVAX/USD,1d,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_slope=downtrend + state_ext=stretched_down,short,0.0,187,-0.004511550880138932,-0.0005957157160114652,-0.003915835164127466,state_ext=stretched_down,0.00928394652791186,-0.013795497408050791,-0.31392410104146096,False,138,0.02270271845794063,0.00876220690616812,0.01394051155177251,cross_ETH/USD_state_slope=downtrend + state_ext=stretched_down,0.018359937108213306,0.004342781349727324,1.673472760954674,0.09423426450061956,False,4,1,0001,0.25,False,rejected
LTC/USD,1d,cross_BTC/USD_state_ext=stretched_up + state_ext=stretched_down,short,0.0,52,0.0011437968386105045,-0.0033935697788515305,0.004537366617462035,cross_BTC/USD_state_ext=stretched_up,-0.0038260423885914108,0.0049698392272019155,0.06518218703716959,False,24,0.022668422801307958,0.004740747021517269,0.017927675779790687,cross_BTC/USD_state_ext=stretched_up,0.007066812096844424,0.015601610704463535,1.1709821895450827,0.24160593625120952,False,4,0,0000,0.0,False,rejected
LTC/USD,1d,state_ext=stretched_up + state_slope=flat,short,0.0,150,-0.004716934626968585,-0.0033935697788515305,-0.001323364848117054,state_slope=flat,-0.0017901346081169729,-0.0029268000188516115,-0.46426978192445595,False,74,0.022605814226138398,0.004740747021517269,0.01786506720462113,state_ext=stretched_up,0.01645279382883098,0.006153020397307418,2.4691119504966244,0.013544883612361724,True,4,1,0001,0.25,False,rejected
BCH/USD,1d,cross_BTC/USD_state_ext=stretched_down + cross_ETH/USD_state_slope=flat + state_ext=stretched_up,short,0.0,7,-0.008052545819868227,-0.005358495101394343,-0.0026940507184738836,cross_ETH/USD_state_slope=flat + state_ext=stretched_up,0.009124850198521125,-0.01717739601838935,-0.25742855318197105,False,10,0.022555776476919184,0.0022411428041513213,0.020314633672767864,cross_BTC/USD_state_ext=stretched_down + state_ext=stretched_up,0.028526125860003936,-0.005970349383084751,1.04680814056734,0.2951880750946829,False,4,0,0000,0.0,False,rejected
DOGE/USD,1d,cross_BTC/USD_state_vol=low_vol + state_ext=neutral,long,0.0,94,0.002521355936477764,0.008824503131449123,-0.006303147194971359,cross_BTC/USD_state_vol=low_vol,0.009093374788263294,-0.00657201885178553,0.13473527326522391,False,36,0.022533144575065906,-0.009776064559541782,0.03230920913460769,state_ext=neutral,0.012951821722053702,0.009581322853012204,0.6180333740452048,0.5365533392235953,False,4,0,0000,0.0,False,rejected
AVAX/USD,1d,state_weekpart=weekend + state_ext=stretched_down,short,0.0,173,0.007448147433668758,-0.0005957157160114652,0.008043863149680223,state_ext=stretched_down,0.00928394652791186,-0.001835799094243102,0.6545347433734594,False,82,0.022508766153228412,0.00876220690616812,0.013746559247060293,state_ext=stretched_down,0.012756872883124597,0.009751893270103815,1.7666122575071845,0.07729318677226149,False,4,1,0001,0.25,False,rejected
XRP/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=downtrend + state_ext=stretched_down,long,0.0,22,0.005879054212324156,0.017614012994828687,-0.01173495878250453,cross_ETH/USD_state_slope=downtrend + state_ext=stretched_down,0.03305178047868444,-0.027172726266360286,0.34464945311773193,False,7,0.02249685874578575,-0.015343466197808612,0.037840324943594364,cross_BTC/USD_state_ext=neutral + state_ext=stretched_down,-0.0034626655038233543,0.025959524249609105,1.1110053459111229,0.2665660482270482,False,4,0,0000,0.0,False,rejected
LTC/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=stretched_up + state_ext=neutral,long,0.0,47,0.012935624838887392,0.002993569778851529,0.009942055060035863,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=stretched_up,0.008709533721620642,0.00422609111726675,0.8326453827890721,False,17,0.022494371454416736,-0.005140747021517272,0.027635118475934008,cross_ETH/USD_state_ext=stretched_up + state_ext=neutral,0.00845412592742686,0.014040245526989875,1.2998788958078697,0.19364247934841305,False,4,0,0000,0.0,False,rejected
BCH/USD,1d,cross_BTC/USD_state_slope=flat + state_ext=neutral,long,0.0,76,0.02043638161395409,0.004958495101394344,0.015477886512559744,cross_BTC/USD_state_slope=flat,0.00736838597159723,0.01306799564235686,1.6927588869348764,False,21,0.022312473643001835,-0.0026411428041513262,0.02495361644715316,state_ext=neutral,0.020926105450037338,0.0013863681929644975,2.210116070030002,0.02709710784789321,True,4,0,0000,0.0,False,rejected
SOL/USD,1d,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_up,long,0.0,3,-0.06250600959813463,0.04095159951951595,-0.10345760911765058,state_ext=stretched_up,0.09878445744126892,-0.16129046703940353,-2.5635983847475976,False,15,0.022212550377335678,-0.006718285992461106,0.028930836369796785,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_slope=flat,0.03779128825882545,-0.015578737881489776,1.3411086003014663,0.17988519540792902,False,4,0,0000,0.0,False,rejected
SOL/USD,1d,cross_BTC/USD_state_vol=high_vol + state_ext=neutral,long,0.0,20,0.010612249970460544,0.04095159951951595,-0.030339349549055407,state_ext=neutral,0.008759974772866467,0.001852275197594077,0.999350750733813,False,2,0.022132226811380586,-0.006718285992461106,0.028850512803841693,cross_BTC/USD_state_vol=high_vol,0.014339390701029131,0.007792836110351455,3.168221623712,0.0015337455291122293,False,4,0,0000,0.0,False,rejected
