symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent,rank,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size_regime,search_wide_rank_regime,search_wide_bh_pass_regime,search_wide_bonferroni_pass_regime,research_shard_id,candidate_key,strict_gate_pass,status,live_decay_flag,not_regime_evaluated,all_regime_mean_ret_costadj,regime_excess_vs_all,regime_candidate_status
SUSHI/USD,1d,state_volume=vol_quiet + state_ext=stretched_up,neutral,BTC/USD,ok,633,70,0.03801310689674332,0.6714285714285714,2.894002965833423,0.0038036456927077467,True,-5.1982298647925425e-05,0.03806508919539125,state_ext=stretched_up,0.00786470924495285,0.030148397651790473,30,rolling,4,short,rejected,late_emerging_recent_only,144,False,40,True,0.0474677704169331,0.0363684741684639,state_ext=stretched_up,0.0166993333941558,0.0016714631428307,1,1,0.25,0,7,7,7,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,4,False,False,crypto-1d-02,,False,,,False,0.008024215820100026,0.0299888910766433,regime_switching_research_only
LTC/USD,1d,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,neutral,BTC/USD,ok,633,21,0.03289711410667056,0.7619047619047619,2.2993765418921708,0.021483566820527322,True,0.0001877699858553224,0.032709344120815234,cross_BTC/USD_state_slope=uptrend,0.0038700854245174976,0.029027028682153063,9,rolling,4,short,rejected,late_emerging_valid_supported,53,False,22,True,0.0509620278179017,0.0499469637192258,cross_BTC/USD_state_slope=uptrend,0.0426199070164433,4.644284956611955e-12,1,10,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,19,False,False,crypto-1d-02,LTC/USD|1d|cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down|rolling,False,research_only,False,False,0.027394878563273318,0.0055022355433972416,regime_switching_research_only
UNI/USD,1d,state_volume=vol_quiet + state_ext=stretched_up,neutral,BTC/USD,ok,633,50,0.03258904575123128,0.66,2.422780410396349,0.015402233715577474,True,0.0073053513250917945,0.025283694426139487,state_ext=stretched_up,0.025572457180732994,0.007016588570498288,58,rolling,4,short,rejected,late_emerging_valid_supported,147,False,49,True,0.0242568852077081,0.0219192841757718,state_ext=stretched_up,0.0074890009172194,0.0432851241767835,0,0,0.0,0,8,8,5,7.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,13,False,False,crypto-1d-02,,False,,,False,0.0032132307197778316,0.02937581503145345,regime_switching_research_only
SUSHI/USD,1d,state_ret_day=ret_day_down + state_ext=stretched_up,neutral,BTC/USD,ok,633,44,0.03188481737173135,0.6136363636363636,2.277056792807073,0.02278283440171669,True,-5.1982298647925425e-05,0.031936799670379275,state_ext=stretched_up,0.00786470924495285,0.0240201081267785,57,rolling,4,short,rejected,late_emerging_valid_supported,86,False,25,True,0.0396075374246909,0.0285082411762218,state_ext=stretched_up,0.0088391004019136,0.009107205299641,0,0,0.0,0,8,7,6,7.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,21,False,False,crypto-1d-02,SUSHI/USD|1d|state_ret_day=ret_day_down + state_ext=stretched_up|rolling,False,research_only,False,False,0.003443348507770001,0.028441468863961348,regime_switching_research_only
AAVE/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=flat,neutral,BTC/USD,ok,633,141,0.031442546588272974,0.723404255319149,3.0374812030330443,0.0023856428291111342,True,0.0009616603802562655,0.030480886208016707,cross_ETH/USD_state_slope=flat,0.0200729934503713,0.011369553137901674,9,rolling,4,short,rejected,late_emerging_recent_only,277,False,102,True,0.0365202953549559,0.0349582271886675,state_slope=flat,0.0034293158339413,0.0135668754318707,1,1,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,3,False,False,crypto-1d-00,AAVE/USD|1d|cross_ETH/USD_state_slope=flat + state_slope=flat|rolling,False,research_only,False,False,0.011842199172852678,0.019600347415420296,regime_switching_research_only
LTC/USD,1d,cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down,neutral,BTC/USD,ok,633,25,0.03114667943384481,0.72,2.693824254341146,0.0070637399753912256,True,0.0001877699858553224,0.03095890944798949,cross_ETH/USD_state_slope=uptrend,0.005730982886542388,0.025415696547302424,47,rolling,4,short,rejected,late_emerging_valid_supported,29,False,30,True,0.0292065864934759,0.0281915223948,cross_ETH/USD_state_slope=uptrend,0.0265075044414778,0.0065032599104588,0,0,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,6,False,False,crypto-1d-02,LTC/USD|1d|cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down|rolling,False,research_only,False,False,0.01432504673697372,0.01682163269687109,regime_switching_research_only
DOT/USD,1d,state_ret_day=ret_day_up + state_ext=stretched_up,neutral,BTC/USD,ok,444,54,0.028430765740874647,0.6666666666666666,2.69154601490754,0.007112168627652959,True,0.0006159816145847151,0.027814784126289932,state_ext=stretched_up,0.027676916325211895,0.0007538494156627516,28,rolling,4,short,rejected,late_emerging_valid_supported,88,False,30,True,0.0344991586464741,0.0189845405092542,state_ext=stretched_up,0.0002788794644413,0.0403071758302753,0,0,0.0,0,8,7,6,7.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,7,False,False,crypto-1d-01,DOT/USD|1d|state_ret_day=ret_day_up + state_ext=stretched_up|rolling,False,research_only,False,False,0.011130256262712078,0.01730050947816257,regime_switching_research_only
UNI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,neutral,BTC/USD,ok,633,47,0.02764051816113903,0.6382978723404256,2.3107467077887263,0.020846849677312207,True,0.0073053513250917945,0.020335166836047233,cross_ETH/USD_state_ext=neutral,0.027915801510103647,-0.0002752833489646188,2,rolling,4,short,survived,clean_survivor_wf_mixed,76,True,38,True,0.0511243129625828,0.0487867119306465,cross_ETH/USD_state_ext=neutral,0.0279325642404382,0.0036454358170672,1,100,0.25,6,8,8,7,17.25,survived,survived,survived,rejected,rejected,survived,survived,survived,124,18,False,False,crypto-1d-02,UNI/USD|1d|cross_ETH/USD_state_ext=neutral + state_ext=stretched_down|rolling,False,research_only,False,False,0.040874549168804106,-0.013234031007665077,regime_switching_research_only
LINK/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=uptrend,neutral,BTC/USD,ok,633,34,0.025172282680296854,0.7058823529411765,2.479597070802145,0.013153092270553834,True,-0.0005577649694216573,0.02573004764971851,state_slope=uptrend,0.014429242475007346,0.010743040205289508,12,rolling,4,short,rejected,late_emerging_valid_supported,81,False,24,True,0.0617621570574747,0.0613200655289215,state_slope=uptrend,0.050893359511192,0.0007997528075949,0,0,0.0,0,8,8,8,8.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,12,False,False,crypto-1d-01,LINK/USD|1d|cross_ETH/USD_state_slope=flat + state_slope=uptrend|rolling,False,research_only,False,False,0.01825285011594488,0.0069194325643519745,regime_switching_research_only
LTC/USD,1d,state_ret_day=ret_day_up + state_ext=stretched_up,neutral,BTC/USD,ok,633,97,0.020622991982450198,0.5979381443298969,2.298216931164017,0.02154944553013305,True,0.0001877699858553224,0.020435221996594876,state_ext=stretched_up,0.008517940610474395,0.012105051371975803,24,rolling,4,short,rejected,late_emerging_recent_only,174,False,78,True,0.0267194961628862,0.0257044320642103,state_ext=stretched_up,0.0142941640173106,0.0167448467665505,1,1,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,124,20,False,False,crypto-1d-02,LTC/USD|1d|state_ret_day=ret_day_up + state_ext=stretched_up|rolling,False,research_only,False,False,0.013973472743710602,0.006649519238739595,regime_switching_research_only
