symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent,bin_mode
ADI,1d,state_ext=stretched_down + state_ret_1=ret_down,regime_warmup,ADI,ok,199,0,,,,,False,0.004829738526842,,state_ext=stretched_down,0.0234807104819025,,rolling
ADI,1d,state_ext=stretched_down + state_slope=downtrend,all,ADI,ok,5022,1043,0.0096302422941601,0.6069031639501438,3.866531161084781,0.00011039436413,True,0.0035354107525302,0.0060948315416299,state_ext=stretched_down,0.0088713077091779,0.0007589345849821,rolling
ADI,1d,state_ext=stretched_down + state_slope=downtrend,bull,ADI,ok,2302,69,0.0112624683905905,0.6521739130434783,2.3108057441527654,0.0208435870954688,True,-9.291931710709487e-06,0.0112717603223012,state_ext=stretched_down,0.0092576185100963,0.0020048498804942,rolling
ADI,1d,state_ext=stretched_down + state_slope=downtrend,bear,ADI,ok,588,296,0.0119569140865486,0.5844594594594594,2.0705642029075304,0.038399540364864,True,0.0090046931134287,0.0029522209731199,state_ext=stretched_down,0.0120350621889133,-7.814810236465852e-05,rolling
ADI,1d,state_ext=stretched_down + state_slope=downtrend,neutral,ADI,ok,1933,678,0.0084483566729201,0.612094395280236,3.1637854823813787,0.0015573153473509,True,0.005959826853837,0.002488529819083,state_slope=downtrend,0.0073020111936252,0.0011463454792948,rolling
ADI,1d,state_ext=stretched_down + state_slope=downtrend,regime_warmup,ADI,ok,199,0,,,,,False,0.004829738526842,,state_ext=stretched_down,0.0234807104819025,,rolling
ADI,1d,state_ext=stretched_down + state_vol=mid_vol,all,ADI,ok,5022,426,0.0130929664225501,0.636150234741784,3.831560283647324,0.0001273331652331,True,0.0035354107525302,0.0095575556700199,state_ext=stretched_down,0.0088713077091779,0.0042216587133721,rolling
ADI,1d,state_ext=stretched_down + state_vol=mid_vol,bull,ADI,ok,2302,57,0.0157241007817996,0.6140350877192983,2.199499091869624,0.0278424536386263,True,-9.291931710709487e-06,0.0157333927135103,state_ext=stretched_down,0.0092576185100963,0.0064664822717033,rolling
ADI,1d,state_ext=stretched_down + state_vol=mid_vol,bear,ADI,ok,588,66,0.0166929915166452,0.6363636363636364,1.441903195543859,0.1493296846096983,False,0.0090046931134287,0.0076882984032164,state_ext=stretched_down,0.0120350621889133,0.0046579293277319,rolling
ADI,1d,state_ext=stretched_down + state_vol=mid_vol,neutral,ADI,ok,1933,303,0.0118138366711062,0.6402640264026402,3.550988563552855,0.0003837870932361,True,0.005959826853837,0.0058540098172691,state_vol=mid_vol,0.0091489615371114,0.0026648751339948,rolling
