rank,symbol,timeframe,slice_combination,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
1,DOGE/USD,1h,state_ext=stretched_up + state_vol=high_vol,rolling,4,short,rejected,late_emerging_regime_switching,362,False,38,True,0.013915350979804146,0.017601421888112423,state_ext=stretched_up,0.014016877842420703,0.003865123094417555,2,0011,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1076,299,True,False
2,DOGE/USD,1h,state_weekpart=weekday + state_ext=stretched_up + state_vol=high_vol,rolling,4,short,rejected,late_emerging_regime_switching,261,False,30,True,0.01672718606760459,0.020413256975912866,state_ext=stretched_up + state_vol=high_vol,0.0028118350878004444,0.004405660531719979,2,0011,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1076,308,True,False
3,DOT/USD,1h,state_ret_day=ret_day_up + state_ext=stretched_down,rolling,4,short,rejected,late_emerging_recent_only,27,False,18,True,0.007070945126099067,0.010433126764247552,state_ret_day=ret_day_up,0.008354109536540404,0.0028399454201830654,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1076,280,True,False
4,CRV/USD,1h,state_weekpart=weekend + state_ext=stretched_up + state_vol=low_vol,rolling,4,short,rejected,late_emerging_recent_only,137,False,41,True,0.010588180001025982,0.014836888398765805,state_weekpart=weekend + state_ext=stretched_up,0.006038341697018339,5.021033504526429e-07,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1076,73,True,True
5,DOT/USD,1h,state_utc_session=utc_us + state_ext=stretched_up + state_slope=uptrend,rolling,4,short,rejected,late_emerging_recent_only,318,False,88,True,0.005534947004834589,0.008897128642983074,state_utc_session=utc_us + state_ext=stretched_up,0.0024255145503781447,0.004411784874830849,1,0001,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1076,309,True,False
6,LINK/USD,1h,cross_ETH/USD_state_slope=flat + state_ext=neutral,rolling,4,long,rejected,interesting_but_failed_gate,1776,False,943,False,-0.001271588847478197,0.0016703407364899883,cross_ETH/USD_state_slope=flat,0.00014038851169658004,0.04779846134946797,0,0000,0.0,0,8,8,7,7.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1076,457,False,False
7,LINK/USD,1h,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=stretched_up + state_ext=neutral,rolling,4,short,rejected,rejected_unsupported,126,False,65,False,0.0038599320031318853,0.0079180024191637,cross_ETH/USD_state_ext=stretched_up + state_ext=neutral,0.0008232097201964599,0.12585221063324337,0,0000,0.0,2,8,8,2,7.5,rejected,survived,survived,rejected,rejected,rejected,rejected,rejected,1076,584,False,False
8,DOT/USD,1h,state_ret_day=ret_day_flat + state_ext=stretched_up + state_slope=uptrend,rolling,4,short,rejected,late_emerging_valid_supported,98,False,22,True,0.007114579340398454,0.01047676097854694,state_ret_day=ret_day_flat + state_ext=stretched_up,0.007911843084398943,0.02782794485561446,0,0000,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1076,414,False,False
9,LINK/USD,1h,state_utc_session=utc_us + state_volume=vol_surge,rolling,4,short,rejected,interesting_but_failed_gate,829,False,377,False,-0.002574460394356664,0.0014836100216751515,state_volume=vol_surge,0.0007796751489503508,0.002409677817062139,0,0000,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1076,269,True,False
10,LINK/USD,1h,state_weekpart=weekday + state_ext=neutral + state_vol=mid_vol,rolling,4,short,rejected,interesting_but_failed_gate,815,False,459,False,-0.0031502375416188,0.0009078328744130154,state_weekpart=weekday + state_vol=mid_vol,0.00035241459463460295,0.002511277609621221,0,0000,0.0,0,8,8,6,7.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,1076,273,True,False
