symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent
FUT/ZN,1h,state_session=morning + state_slope=flat,neutral,FUT/ZN,ok,2547,454,-0.0002612579575129325,0.3986784140969163,-2.2656551752793663,0.023472504030708663,False,-0.0001880713212942793,-7.318663621865319e-05,state_slope=flat,-0.00019058114119537974,-7.067681631755274e-05
FUT/ZN,1h,state_session=morning + state_slope=flat,regime_warmup,FUT/ZN,ok,199,0,,,,,False,-0.00039185216883475514,,state_session=morning,-0.000590469814065045,
FUT/ZN,1h,state_session=afternoon + state_slope=downtrend,all,FUT/ZN,ok,5771,774,-0.00013068002848923508,0.40310077519379844,-2.468559353615948,0.013565815270187187,False,-0.00018565375839474756,5.4973729905512486e-05,state_session=afternoon,-0.00015283743380050348,2.2157405311268405e-05
FUT/ZN,1h,state_session=afternoon + state_slope=downtrend,bull,FUT/ZN,ok,1385,39,-0.00020967861022962476,0.5384615384615384,-0.6782500241530172,0.4976131797728425,False,-0.00011764493769694807,-9.203367253267669e-05,state_session=afternoon,-0.00014483592341368244,-6.484268681594232e-05
FUT/ZN,1h,state_session=afternoon + state_slope=downtrend,bear,FUT/ZN,ok,1640,406,-0.00012443826422109275,0.43349753694581283,-1.9992389447115646,0.04558250668503816,False,-0.00021431302686046925,8.98747626393765e-05,state_slope=downtrend,-0.0001763585730696549,5.1920308848562154e-05
FUT/ZN,1h,state_session=afternoon + state_slope=downtrend,neutral,FUT/ZN,ok,2547,329,-0.0001290180576837353,0.3495440729483283,-1.6346839474886925,0.10211531931791429,False,-0.0001880713212942793,5.9053263610544e-05,state_session=afternoon,-0.0001396139024752748,1.05958447915395e-05
FUT/ZN,1h,state_session=afternoon + state_slope=downtrend,regime_warmup,FUT/ZN,ok,199,0,,,,,False,-0.00039185216883475514,,state_session=afternoon,-0.00015800189304170158,
FUT/GC,1h,state_session=morning + state_ext=stretched_up,all,FUT/GC,ok,5841,92,0.0009211110984981438,0.5,1.1488614410352427,0.25061311947913323,False,-0.0004032233364454897,0.0013243344349436336,state_session=morning,-7.1740238951497e-05,0.0009928513374496408
FUT/GC,1h,state_session=morning + state_ext=stretched_up,bull,FUT/GC,ok,2022,47,-0.0005649844958390572,0.40425531914893614,-0.597578819180947,0.5501210005644617,False,-0.0006608266803396388,9.584218450058154e-05,state_session=morning,-0.0003871583657739119,-0.00017782613006514536
FUT/GC,1h,state_session=morning + state_ext=stretched_up,bear,FUT/GC,ok,1348,4,0.009370810961359116,1.0,5.667830524390726,1.4461690067690824e-08,False,-0.00045055691382814403,0.00982136787518726,state_ext=stretched_up,0.013149493291815771,-0.0037786823304566553
FUT/GC,1h,state_session=morning + state_ext=stretched_up,neutral,FUT/GC,ok,2272,41,0.0018003231346543527,0.5609756097560976,1.8629294198683344,0.062472197004968644,False,-0.00017254865818473842,0.001972871792839091,state_session=morning,0.0005896507776338428,0.0012106723570205098
FUT/GC,1h,state_session=morning + state_ext=stretched_up,regime_warmup,FUT/GC,ok,199,0,,,,,False,-9.876728289091424e-05,,state_session=morning,-0.00034272684237884394,
FUT/ZN,1h,state_session=lunch + state_slope=downtrend,all,FUT/ZN,ok,5771,176,2.1624607318556957e-05,0.4375,0.1929172258065534,0.847023794200227,False,-0.00018565375839474756,0.0002072783657133045,state_session=lunch,-5.468612797307138e-05,7.631073529162834e-05
FUT/ZN,1h,state_session=lunch + state_slope=downtrend,bull,FUT/ZN,ok,1385,14,0.00016232261853314762,0.6428571428571429,0.4314295799393266,0.6661560457740228,False,-0.00011764493769694807,0.00027996755623009567,state_session=lunch,-1.0217889018209662e-05,0.00017254050755135728
FUT/ZN,1h,state_session=lunch + state_slope=downtrend,bear,FUT/ZN,ok,1640,93,-3.44402709743809e-05,0.34408602150537637,-0.20974344986999002,0.8338679116357024,False,-0.00021431302686046925,0.00017987275588608834,state_slope=downtrend,-0.0001763585730696549,0.000141918302095274
FUT/ZN,1h,state_session=lunch + state_slope=downtrend,neutral,FUT/ZN,ok,2547,69,6.864289027854174e-05,0.5217391304347826,0.4332418878736761,0.6648390508381528,False,-0.0001880713212942793,0.000256714211572821,state_session=lunch,5.172159851664651e-05,1.6921291761895225e-05
FUT/ZN,1h,state_session=lunch + state_slope=downtrend,regime_warmup,FUT/ZN,ok,199,0,,,,,False,-0.00039185216883475514,,state_session=lunch,-5.24351001641016e-05,
FUT/NQ,1h,state_ext=neutral + state_vol=mid_vol,all,FUT/NQ,ok,5870,1887,4.8487741328690734e-05,0.4462109167991521,0.22078523742349676,0.8252596587780057,False,-0.0003890658795026795,0.0004375536208313703,state_vol=mid_vol,3.607397733170092e-05,1.2413763996989815e-05
FUT/NQ,1h,state_ext=neutral + state_vol=mid_vol,bull,FUT/NQ,ok,2024,965,-0.00038124411880960423,0.40310880829015544,-1.5161162541092112,0.12948995898401927,False,-0.0003018079757173669,-7.943614309223734e-05,state_ext=neutral,-0.0002937685142648529,-8.747560454475133e-05
FUT/NQ,1h,state_ext=neutral + state_vol=mid_vol,bear,FUT/NQ,ok,1215,211,0.0005827966672751911,0.5071090047393365,0.753677150630674,0.4510431053897861,False,-0.001024138827775791,0.001606935495050982,state_vol=mid_vol,0.0005246732154561483,5.812345181904278e-05
FUT/NQ,1h,state_ext=neutral + state_vol=mid_vol,neutral,FUT/NQ,ok,2432,711,0.0004731741852931676,0.4866385372714487,1.2581951060566876,0.20832120444687874,False,-0.00011242726150652168,0.0005856014467996893,state_vol=mid_vol,0.0004521832734093369,2.0990911883830734e-05
FUT/NQ,1h,state_ext=neutral + state_vol=mid_vol,regime_warmup,FUT/NQ,ok,199,0,,,,,False,-0.0007799276085293036,,state_ext=neutral,-0.0007916127289181248,
FUT/GC,1h,state_session=morning + state_slope=flat,all,FUT/GC,ok,5841,826,0.0007030575482635684,0.5036319612590799,1.815903129222137,0.0693852332224365,False,3.22333644549015e-06,0.0006998342118180782,state_slope=flat,0.0005175316155034014,0.00018552593276016703
FUT/GC,1h,state_session=morning + state_slope=flat,bull,FUT/GC,ok,2022,300,0.00040826226350968017,0.5066666666666667,0.7189039666426479,0.4722000922637488,False,0.0002608266803396393,0.00014743558317004086,state_slope=flat,0.00046863770757069685,-6.037544406101668e-05
FUT/GC,1h,state_session=morning + state_slope=flat,bear,FUT/GC,ok,1348,198,0.0005019745049949149,0.43434343434343436,0.6088507943783503,0.5426233418357651,False,5.055691382814468e-05,0.00045141759116677023,state_slope=flat,0.000256870245649425,0.0002451042593454899
FUT/GC,1h,state_session=morning + state_slope=flat,neutral,FUT/GC,ok,2272,328,0.001094072877511616,0.5426829268292683,2.1157016554710255,0.034370189698238685,True,-0.00022745134181526128,0.0013215242193268773,state_slope=flat,0.0007026503329746489,0.00039142254453696716
FUT/GC,1h,state_session=morning + state_slope=flat,regime_warmup,FUT/GC,ok,199,0,,,,,False,-0.0003012327171090855,,state_session=morning,-5.7273157621155886e-05,
FUT/GC,1h,state_ext=neutral + state_slope=flat,all,FUT/GC,ok,5841,1521,0.0005108322321222462,0.4891518737672584,1.672038837998446,0.09451666382474677,False,3.22333644549015e-06,0.0005076088956767561,state_slope=flat,0.0005175316155034014,-6.699383381155149e-06
FUT/GC,1h,state_ext=neutral + state_slope=flat,bull,FUT/GC,ok,2022,579,0.00046863770757069685,0.48877374784110533,1.03614194245584,0.3001359273953659,False,0.0002608266803396393,0.00020781102723105754,state_slope=flat,0.00046863770757069685,0.0
FUT/GC,1h,state_ext=neutral + state_slope=flat,bear,FUT/GC,ok,1348,328,0.00028445845937524495,0.43902439024390244,0.4404553636818766,0.6596073342235769,False,5.055691382814468e-05,0.00023390154554710026,state_slope=flat,0.000256870245649425,2.7588213725819968e-05
FUT/GC,1h,state_ext=neutral + state_slope=flat,neutral,FUT/GC,ok,2272,614,0.0006715508431586691,0.5162866449511401,1.704677973253173,0.0882545001124555,False,-0.00022745134181526128,0.0008990021849739304,state_slope=flat,0.0007026503329746489,-3.1099489815979804e-05
FUT/GC,1h,state_ext=neutral + state_slope=flat,regime_warmup,FUT/GC,ok,199,0,,,,,False,-0.0003012327171090855,,state_ext=neutral,-0.0003370409179111035,
