symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent
UNI/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,bear,BTC/USD,ok,473,3,0.008710565298169581,0.6666666666666666,3.4866575579172396,0.0004890971876267969,False,-0.004389115632788922,0.013099680930958504,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend,0.01886777536427667,-0.01015721006610709
UNI/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,neutral,BTC/USD,ok,633,11,0.005851932736569512,0.36363636363636365,0.2383953047129985,0.8115745087634574,False,0.0073053513250917945,-0.0014534185885222827,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend,0.03544446056520497,-0.02959252782863546
UNI/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,regime_warmup,BTC/USD,ok,199,0,,,,,False,0.0031929205181384064,,state_ext=stretched_up,0.023748274424410704,
XRP/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=neutral,all,BTC/USD,ok,918,56,0.037130783079714395,0.6785714285714286,2.8565103461673473,0.0042832604453624246,True,-0.008141129794419912,0.045271912874134304,state_ext=neutral,0.020703005588675855,0.01642777749103854
XRP/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=neutral,bull,BTC/USD,ok,332,23,0.055080472129002356,0.6086956521739131,2.3747901022971565,0.017558932013953976,True,-0.01867915717188282,0.07375962930088517,state_ext=neutral,0.035019896314982625,0.02006057581401973
XRP/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=neutral,bear,BTC/USD,ok,199,13,0.03412966742883531,0.8461538461538461,3.6597564789158032,0.00025245505016591174,False,0.004424532110168153,0.029705135318667156,cross_ETH/USD_state_vol=mid_vol,0.015377076902813374,0.018752590526021934
XRP/USD,1d,cross_ETH/USD_state_vol=mid_vol + state_ext=neutral,neutral,BTC/USD,ok,387,20,0.018439365846104644,0.65,0.828890898556358,0.40716614596005685,False,-0.00556216759725024,0.024001533443354886,state_ext=neutral,0.016713724205118026,0.001725641640986618
XRP/USD,1d,state_ext=neutral + state_vol=mid_vol,all,BTC/USD,ok,918,52,0.03447388478048821,0.8076923076923077,3.9366328677013587,8.263287723564439e-05,True,-0.008141129794419912,0.04261501457490813,state_ext=neutral,0.020703005588675855,0.013770879191812357
XRP/USD,1d,state_ext=neutral + state_vol=mid_vol,bull,BTC/USD,ok,332,15,0.028015066283502706,0.7333333333333333,2.31411047196551,0.02066166314092266,True,-0.01867915717188282,0.04669422345538553,state_ext=neutral,0.035019896314982625,-0.0070048300314799194
XRP/USD,1d,state_ext=neutral + state_vol=mid_vol,bear,BTC/USD,ok,199,16,0.03891688492666992,0.875,5.038800497156146,4.6845847267995566e-07,True,0.004424532110168153,0.034492352816501766,state_vol=mid_vol,0.015918718732157056,0.022998166194512865
XRP/USD,1d,state_ext=neutral + state_vol=mid_vol,neutral,BTC/USD,ok,387,21,0.03570218359552989,0.8095238095238095,1.8071044568589514,0.07074599388358349,False,-0.00556216759725024,0.04126435119278013,state_ext=neutral,0.016713724205118026,0.018988459390411862
LTC/USD,1d,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,all,BTC/USD,ok,1820,75,0.027394878563273318,0.6533333333333333,2.477933601622499,0.013214573444443989,True,-0.0009532747387408891,0.028348153302014206,cross_BTC/USD_state_slope=uptrend,0.0016411357289895301,0.025753742834283787
LTC/USD,1d,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,bull,BTC/USD,ok,515,45,0.008595578552515118,0.5333333333333333,0.6900904905361525,0.4901372829467714,False,-0.0012940744843032126,0.009889653036818331,cross_BTC/USD_state_slope=uptrend,-0.0054899490960761774,0.014085527648591296
LTC/USD,1d,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,bear,BTC/USD,ok,473,9,0.10855282901580411,1.0,5.6415761025193,1.68500531305682e-08,False,-0.001135666617386732,0.10968849563319084,cross_BTC/USD_state_slope=uptrend,0.039142114112883084,0.06941071490292103
LTC/USD,1d,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,neutral,BTC/USD,ok,633,21,0.03289711410667056,0.7619047619047619,2.2993765418921708,0.021483566820527322,True,0.0001877699858553224,0.032709344120815234,cross_BTC/USD_state_slope=uptrend,0.0038700854245174976,0.029027028682153063
LTC/USD,1d,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,regime_warmup,BTC/USD,ok,199,0,,,,,False,-0.003267335457863115,,state_ext=stretched_down,0.005025330396484844,
BCH/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,all,BTC/USD,ok,1820,30,0.010898839651012638,0.6333333333333333,0.5714560175375879,0.5676905662284419,False,-0.0030786037297306406,0.01397744338074328,cross_BTC/USD_state_ext=neutral + state_ext=stretched_up,0.00793678594433552,0.002962053706677119
BCH/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,bull,BTC/USD,ok,515,12,0.0315799818280231,0.75,2.2473848161183523,0.024615444546348675,False,-0.011464795148448994,0.0430447769764721,cross_BTC/USD_state_ext=neutral + state_ext=stretched_up,0.02543654615441345,0.00614343567360965
BCH/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,bear,BTC/USD,ok,473,6,-0.04843072447514876,0.5,-0.8790581392996556,0.379369753246517,False,0.0005754540537042689,-0.04900617852885303,state_ext=stretched_up,-0.0005262307226990089,-0.047904493752449755
BCH/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,neutral,BTC/USD,ok,633,12,0.019882479537082876,0.5833333333333334,1.244878947015618,0.21317625070912571,False,-0.001977641643196937,0.021860121180279815,cross_BTC/USD_state_ext=neutral + state_ext=stretched_up,0.029850115451284603,-0.009967635914201727
BCH/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,regime_warmup,BTC/USD,ok,199,0,,,,,False,0.006437025658708567,,cross_BTC/USD_state_ext=neutral + state_ext=stretched_up,0.12172116375877248,
XRP/USD,1d,cross_BTC/USD_state_vol=mid_vol + state_ext=neutral,all,BTC/USD,ok,918,47,0.031831679128914915,0.7021276595744681,2.6114430643154862,0.009016099950363232,True,-0.008141129794419912,0.039972808923334824,state_ext=neutral,0.020703005588675855,0.01112867354023906
XRP/USD,1d,cross_BTC/USD_state_vol=mid_vol + state_ext=neutral,bull,BTC/USD,ok,332,11,0.04832691054495452,0.5454545454545454,1.3637554953106747,0.1726445315246039,False,-0.01867915717188282,0.06700606771683734,state_ext=neutral,0.035019896314982625,0.013307014229971895
XRP/USD,1d,cross_BTC/USD_state_vol=mid_vol + state_ext=neutral,bear,BTC/USD,ok,199,17,0.04167496353558097,0.9411764705882353,6.9648446719388115,3.2875924205200135e-12,True,0.004424532110168153,0.03725043142541282,cross_BTC/USD_state_vol=mid_vol,0.012271080728347495,0.029403882807233474
XRP/USD,1d,cross_BTC/USD_state_vol=mid_vol + state_ext=neutral,neutral,BTC/USD,ok,387,19,0.013474659103138147,0.5789473684210527,0.89317997935982,0.371760797750474,False,-0.00556216759725024,0.019036826700388386,state_ext=neutral,0.016713724205118026,-0.0032390651019798787
BTC/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,all,BTC/USD,ok,1820,70,0.0131538527877495,0.6714285714285714,1.8416456371795553,0.06552700088021557,False,-0.003976943157309506,0.017130795945059007,cross_ETH/USD_state_slope=uptrend,-0.0022039220373292583,0.015357774825078758
BTC/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,bull,BTC/USD,ok,515,31,0.007950665781752533,0.6129032258064516,0.9384725721075166,0.3480016059143596,False,-0.006845659532854978,0.014796325314607511,cross_ETH/USD_state_slope=uptrend,-0.006826531245582717,0.014777197027335251
BTC/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,bear,BTC/USD,ok,473,12,0.013597237622964484,0.8333333333333334,1.792480953957569,0.07305595739929371,False,0.0009084653100321892,0.012688772312932294,state_slope=flat,0.00017838537440870264,0.01341885224855578
BTC/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,neutral,BTC/USD,ok,633,27,0.018930822386391207,0.6666666666666666,1.3418574447133509,0.17964222211045922,False,-0.004147476942452519,0.023078299328843727,cross_ETH/USD_state_slope=uptrend,0.0030428258787130293,0.01588799650767818
BTC/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,regime_warmup,BTC/USD,ok,199,0,,,,,False,-0.00762247775857171,,,,
BTC/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=downtrend,all,BTC/USD,ok,1820,90,0.015704721848434265,0.6111111111111112,2.2871030710434557,0.022189807682887253,True,0.003576943157309506,0.012127778691124759,state_slope=downtrend,0.005243623178860305,0.01046109866957396
BTC/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=downtrend,bull,BTC/USD,ok,515,17,0.02896751984583043,0.7647058823529411,1.961981250565212,0.04976466718478734,True,0.006445659532854977,0.022521860312975456,state_slope=downtrend,0.01713890543586508,0.011828614409965351
BTC/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=downtrend,bear,BTC/USD,ok,473,25,0.024780021705852272,0.68,1.6703515055200289,0.094849838317419,False,-0.001308465310032191,0.026088487015884464,cross_ETH/USD_state_slope=flat,0.0035122036307850715,0.0212678180750672
BTC/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=downtrend,neutral,BTC/USD,ok,633,48,0.006280762215284577,0.5208333333333334,0.7824235622663557,0.4339656909305951,False,0.0037474769424525145,0.0025332852728320626,state_slope=downtrend,0.01179057480090554,-0.0055098125856209625
BTC/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=downtrend,regime_warmup,BTC/USD,ok,199,0,,,,,False,0.007222477758571707,,,,
BCH/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,all,BTC/USD,ok,1820,36,0.029857868812053254,0.6666666666666666,1.075911255650915,0.28196694754717444,False,-0.0030786037297306406,0.0329364725417839,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,0.013541706799751358,0.016316162012301898
BCH/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,bull,BTC/USD,ok,515,19,0.010894835435834286,0.631578947368421,0.25541427302726577,0.7984031480127256,False,-0.011464795148448994,0.02235963058428328,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,0.003706717448526178,0.007188117987308108
BCH/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,bear,BTC/USD,ok,473,6,0.07885079158964763,0.8333333333333334,2.6133813822643424,0.008965119787872844,False,0.0005754540537042689,0.07827533753594336,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,0.05306089338039741,0.025789898209250213
BCH/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,neutral,BTC/USD,ok,633,11,0.03588878676501637,0.6363636363636364,1.1289352926291853,0.25892513130505246,False,-0.001977641643196937,0.037866428408213304,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,0.030274454124678194,0.0056143326403381745
BCH/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,regime_warmup,BTC/USD,ok,199,0,,,,,False,0.006437025658708567,,state_ext=stretched_down,0.019450516075759317,
