rank,symbol,timeframe,slice_combination,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
1,BCH/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_up,rolling,4,short,rejected,late_emerging_regime_switching,65,False,47,True,0.016878563251041687,0.017978936072444565,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_up,0.004211655169968947,0.034879418918082106,2,0101,0.5,0,8,7,8,8.75,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,564,70,False,False
2,AAVE/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=downtrend,rolling,4,long,rejected,late_emerging_recent_only,46,False,41,True,0.04810662246446535,0.05666869063075375,state_slope=downtrend,0.04573579601613748,0.0029691760220762475,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,564,25,False,False
3,AVAX/USD,1d,cross_BTC/USD_state_slope=downtrend + state_ext=neutral,rolling,4,long,rejected,late_emerging_recent_only,13,False,25,True,0.035135326624438384,0.04704566414967321,state_ext=neutral,0.03314300524995003,0.040666664188111046,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,564,78,False,False
4,BCH/USD,1d,state_ext=neutral + state_vol=mid_vol,rolling,4,long,rejected,late_emerging_recent_only,41,False,33,True,0.036970080786608066,0.042869707965205194,state_ext=neutral,0.018873777280079142,0.01671541666544396,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,564,45,False,False
5,BCH/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,rolling,4,short,rejected,late_emerging_recent_only,15,False,27,True,0.03114578360435228,0.03224615642575516,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=uptrend,0.018502681710770578,0.00034861433185184865,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,564,16,True,False
6,AAVE/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=flat,rolling,4,short,rejected,late_emerging_recent_only,117,False,66,True,0.04724701588785044,0.04568494772156205,state_slope=flat,0.01415603636683585,0.00024246500894475886,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,564,15,True,False
7,AVAX/USD,1d,cross_BTC/USD_state_slope=downtrend + cross_ETH/USD_state_ext=stretched_down + state_ext=neutral,rolling,4,long,rejected,late_emerging_recent_only,11,False,18,True,0.04812546852403879,0.06003580604927362,cross_BTC/USD_state_slope=downtrend + state_ext=neutral,0.012990141899600405,0.019330707322006813,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,564,51,False,False
8,BCH/USD,1d,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_up,rolling,4,short,rejected,late_emerging_recent_only,9,False,22,True,0.03299332372434391,0.03409369654574679,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend,0.010198342964133408,3.659628469554477e-05,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,564,8,True,True
9,AAVE/USD,1d,cross_ETH/USD_state_slope=flat + state_slope=flat,rolling,4,short,rejected,late_emerging_recent_only,277,False,102,True,0.036520295354955934,0.03495822718866754,state_slope=flat,0.003429315833941342,0.01356687543187074,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,564,39,False,False
10,AAVE/USD,1d,cross_BTC/USD_state_slope=flat + state_slope=flat,rolling,4,short,rejected,late_emerging_recent_only,225,False,74,True,0.03517217470908243,0.03361010654279404,state_slope=flat,0.00208119518806784,0.024933467007605792,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,564,57,False,False
11,BCH/USD,1d,cross_ETH/USD_state_ext=stretched_down + state_ext=neutral,rolling,4,long,rejected,late_emerging_valid_supported,53,False,27,True,0.046799580653944156,0.052699207832541284,state_ext=neutral,0.028703277147415232,0.010170143278320332,1,0010,0.25,0,8,8,7,8.25,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,564,36,False,False
