rank,symbol,timeframe,slice_combination,bin_mode,validation_n_folds,side,verdict,triage_bucket,train_n,train_pass,valid_n,valid_pass,valid_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_excess_vs_best_parent,valid_p_value_nw,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,scenario_survived_count,scenario_positive_baseline_excess_count,scenario_positive_parent_excess_count,scenario_significant_count,robustness_score,default_verdict,cost2_verdict,cost5_verdict,split06_verdict,split08_verdict,short_borrow2_verdict,short_borrow5_verdict,short_borrow10_verdict,search_wide_family_size,search_wide_rank,search_wide_bh_pass,search_wide_bonferroni_pass
1,SUSHI/USD,1d,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,rolling,4,short,survived,clean_survivor_wf_mixed,51,True,16,True,0.07526984905021872,0.06417055280174958,cross_BTC/USD_state_ext=stretched_up + cross_ETH/USD_state_slope=flat,0.03516221299594335,0.006702318297570953,1,0010,0.25,7,8,8,7,18.25,survived,survived,survived,survived,rejected,survived,survived,survived,856,107,False,False
2,UNI/USD,1d,cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,rolling,4,short,survived,clean_survivor_wf_mixed,76,True,38,True,0.05112431296258282,0.04878671193064652,cross_ETH/USD_state_ext=neutral,0.027932564240438284,0.003645435817067222,1,0100,0.25,6,8,8,7,17.25,survived,survived,survived,rejected,rejected,survived,survived,survived,856,88,True,False
3,SUSHI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,rolling,4,short,survived,clean_survivor_wf_mixed,50,True,20,True,0.08834254374178882,0.07724324749331968,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_slope=flat,0.028876748464288976,0.0020114007157809866,1,0010,0.25,6,8,7,7,17.0,survived,survived,survived,rejected,rejected,survived,survived,survived,856,78,True,False
4,UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral + state_ext=stretched_down,rolling,4,short,survived,clean_survivor_wf_failed,21,True,16,True,0.08995698189109694,0.08761938085916064,cross_BTC/USD_state_slope=uptrend + cross_ETH/USD_state_ext=neutral,0.033871396610432786,0.0025713913623424123,0,0000,0.0,6,8,8,7,16.75,survived,survived,survived,rejected,rejected,survived,survived,survived,856,80,True,False
5,SOL/USD,1d,cross_BTC/USD_state_vol=mid_vol + state_ext=stretched_up,rolling,4,short,rejected,late_emerging_regime_switching,75,False,33,True,0.0322225139117658,0.029799571567941222,cross_BTC/USD_state_vol=mid_vol,0.01715278493771153,3.3886799100102394e-07,3,1011,0.75,0,8,8,8,9.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,856,28,True,True
6,LTC/USD,1d,cross_BTC/USD_state_slope=flat + state_ext=stretched_up,rolling,4,short,rejected,late_emerging_regime_switching,104,False,51,True,0.023702674618754315,0.022687610520078387,state_ext=stretched_up,0.01127734247317871,0.005910581289919392,2,0101,0.5,0,8,8,8,9.0,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,856,101,False,False
7,XRP/USD,1d,cross_BTC/USD_state_vol=low_vol + state_ext=stretched_up,rolling,4,short,rejected,late_emerging_regime_switching,123,False,27,True,0.030691937748700132,0.021561888453145828,state_ext=stretched_up,0.004746305120931226,0.002945589102908208,2,1001,0.5,0,7,7,7,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,856,84,True,False
8,UNI/USD,1d,cross_BTC/USD_state_slope=uptrend + state_slope=downtrend,rolling,4,short,rejected,late_emerging_recent_only,9,False,24,True,0.0567715179787586,0.05443391694682231,cross_BTC/USD_state_slope=uptrend,0.04348156202200258,0.011404528251260482,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,856,120,False,False
9,LTC/USD,1d,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,rolling,4,short,rejected,late_emerging_valid_supported,53,False,22,True,0.05096202781790175,0.04994696371922583,cross_BTC/USD_state_slope=uptrend,0.04261990701644336,4.644284956611955e-12,1,0010,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,856,17,True,True
10,LTC/USD,1d,cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_down,rolling,4,short,rejected,late_emerging_recent_only,38,False,25,True,0.03445835333446911,0.033443289235793185,cross_ETH/USD_state_ext=stretched_up,0.0312427336948236,0.0034745410751280126,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,856,87,True,False
11,SUSHI/USD,1d,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_up + state_ext=stretched_up,rolling,4,short,rejected,late_emerging_recent_only,72,False,28,True,0.08000963032772897,0.06891033407925982,cross_BTC/USD_state_slope=flat + state_ext=stretched_up,0.029684777279533517,0.00015459931853567532,1,0001,0.25,0,8,8,8,8.5,rejected,rejected,rejected,rejected,rejected,rejected,rejected,rejected,856,56,True,False
