symbol,timeframe,slice_combination,sample_count,mean_fwd_ret_5,side,tradeable_mean_fwd_ret_5,win_rate,mean_mfe_5,mean_mae_5,fwd_ret_ratio,research_shard_id
AMC,1d,state_volume=vol_surge + state_ext=stretched_up + state_slope=flat,64,0.110582082507382,long,0.110582082507382,0.5625,0.1967180241166071,-0.0563664181861322,0.1545982451406554,1d-00
AFRM,1d,cross_USO_state_slope=downtrend + cross_TLT_state_ext=stretched_up + state_ext=stretched_up,63,0.1082944481358593,long,0.1082944481358593,0.8571428571428571,0.1620191129025899,-0.0470939953764185,0.8757019524308569,1d-00
AMC,1d,state_gap_open=gap_open_down + state_ext=stretched_up,61,0.0872499736026689,long,0.0872499736026689,0.5737704918032787,0.2579097644811996,-0.0863059045976789,0.2195757075077752,1d-00
AFRM,1d,state_gap_open=gap_open_flat + state_relvol=relvol_elevated + state_ext=stretched_up,35,0.0839994787383157,long,0.0839994787383157,0.8,0.1658319375404399,-0.0376084509887186,0.6834446736806751,1d-00
AMC,1d,cross_USO_state_ext=stretched_up + cross_TLT_state_slope=downtrend + state_ext=stretched_up,217,0.0778443655799023,long,0.0778443655799023,0.5207373271889401,0.2250692424317501,-0.0761881308429752,0.1570414553014775,1d-00
AMC,1d,state_volume=vol_surge + state_ext=stretched_up + state_slope=uptrend,185,0.0730405942703755,long,0.0730405942703755,0.4648648648648649,0.3000895814396971,-0.1072953812836993,0.1645693660941678,1d-00
AFRM,1d,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=uptrend + state_ext=stretched_up,94,0.0730136374819412,long,0.0730136374819412,0.7021276595744681,0.1374057043558417,-0.0606716295360316,0.5172768023458653,1d-00
AFRM,1d,state_slope=downtrend + state_vol=mid_vol,90,-0.0701865343086253,short,0.0701865343086253,0.2888888888888888,0.0677419979326904,-0.1468267592503073,-0.5509564605517809,1d-00
AFRM,1d,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=downtrend + state_ext=stretched_down,85,0.0691163679726507,long,0.0691163679726507,0.6235294117647059,0.1471937693787959,-0.0695750689480211,0.4352969424809602,1d-00
AFRM,1d,cross_USO_state_slope=downtrend + cross_TLT_state_slope=uptrend + state_ext=stretched_up,83,0.0689975733120675,long,0.0689975733120675,0.6626506024096386,0.1342714067961651,-0.0593924491788537,0.5139031580487533,1d-00
AMC,1d,state_volume=vol_surge + state_ext=stretched_up,312,0.0689770861955789,long,0.0689770861955789,0.4903846153846153,0.2368979142888764,-0.0865602593577184,0.1455709712061787,1d-00
AFRM,1d,state_ext=stretched_down + state_slope=downtrend + state_vol=mid_vol,86,-0.0681687422911741,short,0.0681687422911741,0.3023255813953488,0.0708240466425449,-0.1465653947124966,-0.5246043400917813,1d-00
AMC,1d,cross_USO_state_slope=uptrend + cross_TLT_state_slope=downtrend + state_ext=stretched_up,210,0.0664679765949679,long,0.0664679765949679,0.4809523809523809,0.2290512185938419,-0.0873591922398458,0.1329513735178285,1d-00
AFRM,1d,state_volume=vol_surge + state_ext=stretched_down + state_slope=downtrend,41,0.0650521029183493,long,0.0650521029183493,0.5609756097560976,0.1863322285253106,-0.0911055373670832,0.308945582306863,1d-00
AMC,1d,state_volume=vol_surge + state_slope=uptrend,210,0.0623378173446168,long,0.0623378173446168,0.4476190476190476,0.2839929380545094,-0.1050693990035145,0.1484117651664124,1d-00
AMC,1d,state_gap_open=gap_open_big_down + state_relvol=relvol_normal + state_ext=stretched_down,18,-0.0616799053264623,short,0.0616799053264623,0.3888888888888889,0.098530266061463,-0.2043306601950187,-0.2674029711612162,1d-00
AFRM,1d,cross_TLT_state_ext=stretched_up + state_ext=stretched_up,160,0.0601372503914198,long,0.0601372503914198,0.71875,0.126934378441606,-0.061755800238995,0.4635312325048802,1d-00
AMC,1d,state_gap_open=gap_open_big_down + state_relvol=relvol_elevated + state_ext=stretched_down,15,0.0585622722651454,long,0.0585622722651454,0.5333333333333333,0.1567606432795724,-0.1008902005176457,0.3002401677436696,1d-00
AFRM,1d,state_volume=vol_surge + state_slope=downtrend,43,0.0580322476124387,long,0.0580322476124387,0.5581395348837209,0.1810712080660178,-0.0985724326208839,0.2743921392460554,1d-00
AFRM,1d,state_ext=stretched_down + state_ret_5=ret_up,63,-0.0545506916424197,short,0.0545506916424197,0.3015873015873015,0.0891999363127927,-0.1380953884382166,-0.3938287974893278,1d-00
AMC,1d,cross_USO_state_vol=mid_vol + state_ext=stretched_up,371,0.0544719854449663,long,0.0544719854449663,0.4743935309973046,0.1903305663593812,-0.0743354996876677,0.125568414357544,1d-00
AMC,1d,cross_USO_state_slope=flat + cross_TLT_state_ext=stretched_down + state_ext=stretched_down,99,-0.053732248490412,short,0.053732248490412,0.2929292929292929,0.062105818098679,-0.116224543942417,-0.3291377679403595,1d-00
AMC,1d,cross_USO_state_slope=uptrend + cross_TLT_state_ext=stretched_down + state_ext=stretched_up,103,0.0526277863073532,long,0.0526277863073532,0.5728155339805825,0.2127228952466546,-0.0907438138140101,0.2097124144095623,1d-00
AFRM,1d,cross_USO_state_ext=stretched_down + cross_TLT_state_slope=flat + state_ext=neutral,16,0.0519536364702483,long,0.0519536364702483,0.75,0.1243317133057047,-0.0474177364960391,0.6738921792440532,1d-00
AFRM,1d,cross_USO_state_ext=stretched_up + cross_TLT_state_slope=flat + state_ext=neutral,15,-0.0519102036653546,short,0.0519102036653546,0.2666666666666666,0.0494887098511284,-0.1331170004342096,-0.4475054460549471,1d-00
AMC,1d,state_volume=vol_surge + state_ext=neutral + state_slope=downtrend,19,0.0515161790781745,long,0.0515161790781745,0.5789473684210527,0.1443667012988727,-0.0521316743910516,0.226498091179348,1d-00
AFRM,1d,cross_TLT_state_slope=uptrend + state_slope=uptrend,165,0.0508456990606552,long,0.0508456990606552,0.6363636363636364,0.1319923789145188,-0.0649458036720771,0.3568488685610114,1d-00
AFRM,1d,state_vix=vix_mid + state_breadth=breadth_mixed + state_ext=neutral,16,0.050194564879325,long,0.050194564879325,0.8125,0.1408824654625486,-0.0576709055239363,0.757879888178721,1d-00
AMC,1d,state_ext=stretched_up + state_slope=flat + state_vol=high_vol,132,0.0495309242900037,long,0.0495309242900037,0.4924242424242424,0.1527297323420996,-0.069039036944435,0.097422928610194,1d-00
AFRM,1d,state_relvol=relvol_elevated + state_ext=stretched_up,64,0.0476224873116332,long,0.0476224873116332,0.640625,0.1394945185084251,-0.0573334262842867,0.361978687131164,1d-00
AFRM,1d,state_ext=stretched_down + state_vol=mid_vol,188,-0.0475813941537965,short,0.0475813941537965,0.351063829787234,0.0692357062595867,-0.1251517727015613,-0.3871776022086277,1d-00
AMC,1d,state_vix=vix_low + state_breadth=breadth_mixed + state_ext=stretched_up,24,-0.0451476416028556,short,0.0451476416028556,0.3333333333333333,0.0788949653229479,-0.120038280283346,-0.3542155979908779,1d-00
AMC,1d,cross_USO_state_slope=flat + cross_TLT_state_ext=neutral + state_ext=stretched_up,241,0.0445512114628857,long,0.0445512114628857,0.5477178423236515,0.1399573921988769,-0.0597982780330286,0.1573713365679284,1d-00
