symbol,timeframe,slice_combination,sample_count,mean_fwd_ret_5,side,tradeable_mean_fwd_ret_5,win_rate,mean_mfe_5,mean_mae_5,fwd_ret_ratio
ADA/USD,1h,cross_BTC/USD_state_slope=uptrend + state_ext=stretched_down,39,-0.007795574886742221,short,0.007795574886742221,0.1794871794871795,0.008414827340549347,-0.015693606337503066,-0.5617299144704603
ADA/USD,1h,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_slope=flat + state_ext=stretched_down,69,-0.007793213316116769,short,0.007793213316116769,0.30434782608695654,0.010488713446952626,-0.019684840104562232,-0.39484852448098234
AVAX/USD,1h,cross_BTC/USD_state_ext=neutral + cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down,40,0.007741321018730901,long,0.007741321018730901,0.65,0.03473688200469151,-0.012012790927175044,0.3148679243889929
AVAX/USD,1h,state_funding=funding_neutral + state_oi=oi_building + state_ext=stretched_up,26,-0.0077204694350275,short,0.0077204694350275,0.23076923076923078,0.006293282225930081,-0.014372149040511603,-0.7184224367788286
BCH/USD,1h,cross_BTC/USD_state_slope=flat + cross_ETH/USD_state_ext=stretched_down + state_ext=stretched_down,38,-0.007664688673423339,short,0.007664688673423339,0.34210526315789475,0.018662031958286612,-0.02442496366972858,-0.24320424949210673
BCH/USD,1h,state_weekpart=weekend + state_ext=stretched_down + state_vol=high_vol,117,0.007606197618226066,long,0.007606197618226066,0.6239316239316239,0.027216516944524066,-0.013589314748887759,0.33520703332081214
ADA/USD,1h,cross_BTC/USD_state_slope=flat + state_ext=stretched_down,122,-0.007467595679652373,short,0.007467595679652373,0.3524590163934426,0.011750742391891916,-0.019171127884950866,-0.3201520093617531
ADA/USD,1h,state_weekpart=weekend + state_ext=stretched_down + state_vol=low_vol,57,0.007440304106672236,long,0.007440304106672236,0.6666666666666666,0.022143863172970405,-0.0072106714705755795,0.32949035357801876
ADA/USD,1h,state_utc_session=utc_asia + state_funding=funding_long + state_ext=stretched_down,23,-0.007299151781879386,short,0.007299151781879386,0.30434782608695654,0.01247181073856827,-0.02098058358864744,-0.3391722956774792
AAVE/USD,1h,state_funding=funding_neutral + state_oi=oi_building + state_ext=neutral,59,0.007261814600569703,long,0.007261814600569703,0.559322033898305,0.03792776849979357,-0.010304290519422093,0.19529390446480788
AVAX/USD,1h,cross_ETH/USD_state_slope=uptrend + state_ext=stretched_down,52,0.007258161814718037,long,0.007258161814718037,0.6538461538461539,0.03058372066043843,-0.010771644096011296,0.329209695134208
ADA/USD,1h,state_utc_session=utc_us + state_funding=funding_short + state_ext=stretched_up,15,-0.007058731946678609,short,0.007058731946678609,0.3333333333333333,0.016909724359476817,-0.019725542384969322,-0.381357224202268
