name,symbol,timeframe,side,slice_combination,warehouse_rows,start,end,duplicate_ts,close_na,nonpos_close,large_jump_count,eligible_rows,signal_hits,hit_frequency,mean_dir_fwd_ret_5,median_dir_fwd_ret_5,win_rate,worst_dir_fwd_ret_5,best_dir_fwd_ret_5
XOP_1d_downtrend_rebound,XOP,1d,long,state_ext=stretched_down + state_slope=downtrend,1254,2021-07-06 04:00:00+00:00,2026-07-02 04:00:00+00:00,0,0,0,0,1249,285,0.22818254603682947,0.014933046803386998,0.015484410964637041,0.6491228070175439,-0.1558938157217442,0.18787672977332526
XLB_1d_downtrend_rebound,XLB,1d,long,state_ext=stretched_down + state_slope=downtrend,1254,2021-07-06 00:00:00+00:00,2026-07-02 00:00:00+00:00,0,0,0,0,1249,259,0.20736589271417133,0.009409557056472475,0.008471262868042784,0.6447876447876448,-0.08644320803262451,0.0883263767323541
KLAC_1d_downtrend_rebound,KLAC,1d,long,state_ext=stretched_down + state_slope=downtrend,1254,2021-07-06 00:00:00+00:00,2026-07-02 00:00:00+00:00,0,0,0,0,1249,270,0.21617293835068055,0.02032594029433284,0.02026302424070403,0.6444444444444445,-0.16061879297265091,0.1625067212465523
XLF_1d_stretched_up_flat,XLF,1d,long,state_ext=stretched_up + state_slope=flat,1255,2021-07-02 00:00:00+00:00,2026-07-02 00:00:00+00:00,0,0,0,0,1250,122,0.0976,0.01190687023179787,0.013201462873499437,0.7950819672131147,-0.049621363092769766,0.062131096615462456
