order_id,status,action,timestamp_utc,symbol,side,submitted_at,qty,avg_entry_price,current_price,broker_status,filled_qty,filled_avg_price,filled_at,reconciled_at_utc,prior_order_id,stop_price,error,order_type,time_in_force
,rejected,protective_stop_replace,2026-07-22T15:46:10.729507+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":42210000,""message"":""order is not open""}",,
,rejected,protective_stop_replace,2026-07-22T16:46:09.415298+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":42210000,""message"":""order is not open""}",,
,rejected,protective_stop_replace,2026-07-22T17:46:18.204230+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":42210000,""message"":""order is not open""}",,
3fbd0150-1a51-4058-97ba-676ad9dbee45,canceled,protective_stop_submit,2026-07-22T18:46:04.965571+00:00,GOLD,sell,2026-07-22 18:46:04.940072+00:00,23.0,,,canceled,0.0,,,2026-07-22T19:45:56.744639+00:00,,36.46,,stop,gtc
,rejected,protective_stop_replace,2026-07-22T18:46:05.172958+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":42210000,""message"":""order is not open""}",,
,rejected,protective_stop_replace,2026-07-22T19:46:01.394471+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":42210000,""message"":""order is not open""}",,
,rejected,protective_stop_replace,2026-07-22T20:46:00.902381+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":42210000,""message"":""order is not open""}",,
,rejected,protective_stop_replace,2026-07-22T21:51:16.368037+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":42210000,""message"":""order is not open""}",,
,rejected,protective_stop_replace,2026-07-22T22:46:15.550755+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":42210000,""message"":""order is not open""}",,
,rejected,protective_stop_replace,2026-07-22T23:46:06.782903+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":42210000,""message"":""order is not open""}",,
,rejected,protective_stop_replace,2026-07-23T00:46:10.575860+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":42210000,""message"":""order is not open""}",,
,rejected,protective_stop_replace,2026-07-23T01:46:15.868804+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":42210000,""message"":""order is not open""}",,
,rejected,protective_stop_replace,2026-07-23T02:45:57.740091+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":42210000,""message"":""order is not open""}",,
,rejected,protective_stop_replace,2026-07-23T03:46:15.029793+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":42210000,""message"":""order is not open""}",,
,rejected,protective_stop_replace,2026-07-23T04:45:58.226910+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":42210000,""message"":""order is not open""}",,
,rejected,protective_stop_replace,2026-07-23T05:46:18.220895+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":42210000,""message"":""order is not open""}",,
,rejected,protective_stop_replace,2026-07-23T06:46:02.461323+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":42210000,""message"":""order is not open""}",,
,rejected,protective_stop_replace,2026-07-23T07:45:59.614417+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":40410000,""message"":""order not found""}",,
,rejected,protective_stop_replace,2026-07-23T08:46:08.178177+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":40410000,""message"":""order not found""}",,
,rejected,protective_stop_replace,2026-07-23T09:46:01.484331+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":40410000,""message"":""order not found""}",,
,rejected,protective_stop_replace,2026-07-23T10:46:03.254832+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":40410000,""message"":""order not found""}",,
,rejected,protective_stop_replace,2026-07-23T11:45:58.524351+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":40410000,""message"":""order not found""}",,
,rejected,protective_stop_replace,2026-07-23T12:46:01.913221+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":40410000,""message"":""order not found""}",,
,rejected,protective_stop_replace,2026-07-23T13:46:11.439450+00:00,,,,,,,,,,,,63cf7840-4e16-421e-98a2-24c67ddb6e3b,174.82,"{""code"":40410000,""message"":""order not found""}",,
3acbf170-5bdc-44ff-8b1e-c5a083524c21,canceled,order_cancel,2026-07-23T13:46:16.474191+00:00,,,,,,,canceled,0.0,,,2026-07-23T14:45:56.650122+00:00,,,,,
ce43bbf9-c30f-47dd-a407-f61058e5a5ee,filled,exit,2026-07-23T13:46:17.970583+00:00,AVGO,close,2026-07-23 13:46:17.955253+00:00,2.0,391.67,394.5,filled,2.0,394.155,2026-07-23 13:46:19.583257+00:00,2026-07-23T14:45:56.650122+00:00,,,,,
6ee5cc05-4da8-41ed-99dc-30495b5d7c7d,canceled,order_cancel,2026-07-23T13:46:23.518299+00:00,,,,,,,canceled,0.0,,,2026-07-23T14:45:56.650122+00:00,,,,,
