symbol,timeframe,slice_combination,sample_count,mean_fwd_ret_5,side,tradeable_mean_fwd_ret_5,win_rate,mean_mfe_5,mean_mae_5,fwd_ret_ratio
XLF,15m,state_session=afternoon + state_slope=uptrend,3312,7.699622475691202e-05,long,7.699622475691202e-05,0.5129830917874396,0.003828079503770002,-0.003794386377597899,0.0107479660659164
WFC,15m,state_session=lunch + state_ext=neutral + state_slope=uptrend,760,-7.692862028725906e-05,short,7.692862028725906e-05,0.5052631578947369,0.003003897423184039,-0.003111327657256652,-0.018309072385494844
DUK,15m,state_session=lunch + state_ext=neutral,1979,7.68627347963922e-05,long,7.68627347963922e-05,0.504800404244568,0.001958587056801068,-0.001935405722929165,0.027417979188068292
XRP/USD,15m,state_ext=neutral + state_vol=low_vol,11636,-7.682247869717957e-05,short,7.682247869717957e-05,0.4902887590237195,0.004076536497331875,-0.0038491909167484143,-0.014747771072591943
VWO,15m,state_session=morning + state_ext=neutral,1886,7.678203968324684e-05,long,7.678203968324684e-05,0.5477200424178155,0.0018525367079183538,-0.001909970132791387,0.024589938569715163
TGT,15m,state_session=morning + state_ext=neutral,1547,7.67074436367292e-05,long,7.67074436367292e-05,0.4861021331609567,0.004677480096470786,-0.004514192558090969,0.011118566325847398
QQQ,15m,state_ext=stretched_up + state_slope=uptrend,508,-7.666619125138935e-05,short,7.666619125138935e-05,0.5787401574803149,0.004699980441972501,-0.004733997524519422,-0.009744450316010783
GD,15m,state_session=lunch + state_slope=downtrend,680,-7.650412043147928e-05,short,7.650412043147928e-05,0.49264705882352944,0.002214726174342461,-0.0025197175797091248,-0.02083036606564808
MSFT,15m,state_session=morning + state_slope=flat,666,7.650020098672263e-05,long,7.650020098672263e-05,0.521021021021021,0.003492691407060356,-0.0034173971435977986,0.01566979031728033
PSX,15m,state_ext=neutral + state_vol=high_vol,1620,7.647170657637146e-05,long,7.647170657637146e-05,0.5030864197530864,0.004639179111253679,-0.004582962774708324,0.010806544536704758
DBA,15m,state_ext=neutral + state_slope=flat,1214,7.641997823602403e-05,long,7.641997823602403e-05,0.514827018121911,0.0017669531363608778,-0.0016297709464103032,0.01824883141799403
TSLA,15m,state_session=afternoon + state_ext=stretched_up + state_slope=uptrend,103,7.639906917746788e-05,long,7.639906917746788e-05,0.5048543689320388,0.008516928845641416,-0.007760984670818591,0.007875745549418401
XLRE,15m,state_session=morning + state_ext=neutral,1970,7.636585463811488e-05,long,7.636585463811488e-05,0.49441624365482234,0.0022975499908033186,-0.002274004914586469,0.023843922564169246
BAC,15m,state_session=lunch + state_slope=downtrend,703,-7.619224267611728e-05,short,7.619224267611728e-05,0.5007112375533428,0.003075377601737416,-0.003361174698347868,-0.016550322463847838
ETH/USD,15m,state_ext=neutral + state_vol=mid_vol,11383,-7.577676755083242e-05,short,7.577676755083242e-05,0.5011859790916279,0.005004107809756764,-0.005048497844755355,-0.010136362155092673
VWO,15m,state_session=morning + state_ext=neutral + state_slope=uptrend,661,-7.576334446175034e-05,short,7.576334446175034e-05,0.5128593040847201,0.0016377114969633728,-0.0018300349794225339,-0.024529025391672885
GLD,15m,state_ext=neutral + state_slope=uptrend,10224,7.554719966363704e-05,long,7.554719966363704e-05,0.516725352112676,0.0019931975337083153,-0.002022379879693786,0.01665906882989737
XLC,15m,state_session=lunch + state_ext=neutral + state_slope=uptrend,762,7.55336779099041e-05,long,7.55336779099041e-05,0.49343832020997375,0.0016926998421897218,-0.0016203843422924176,0.031163672471604724
DUK,15m,state_session=lunch + state_slope=uptrend,737,-7.547384787470316e-05,short,7.547384787470316e-05,0.5006784260515604,0.0019444030136734703,-0.0020257612785606065,-0.02683663928103161
XEL,15m,state_ext=neutral + state_vol=high_vol,2031,7.54558160755982e-05,long,7.54558160755982e-05,0.5258493353028065,0.003189582452965867,-0.003227389909387152,0.01649515857532928
TXN,15m,state_ext=neutral + state_slope=uptrend,1716,-7.544200257616044e-05,short,7.544200257616044e-05,0.49009324009324007,0.004905085481244584,-0.004939449239521054,-0.008749018741751243
XLF,15m,state_session=lunch + state_slope=flat,2253,-7.538211595318861e-05,short,7.538211595318861e-05,0.5015534842432312,0.001771620965505366,-0.002001765173360334,-0.02737394680441424
VEA,15m,state_session=morning + state_ext=neutral + state_slope=flat,600,7.536467385683273e-05,long,7.536467385683273e-05,0.5333333333333333,0.0018353119834419321,-0.0019585372100680344,0.025358795140705777
COP,15m,state_session=morning + state_ext=neutral + state_slope=downtrend,482,7.532011809257995e-05,long,7.532011809257995e-05,0.5145228215767634,0.004630439850652543,-0.004622816393389301,0.011566301135029983
XLV,15m,state_session=afternoon + state_ext=neutral + state_slope=flat,1033,-7.523098069127485e-05,short,7.523098069127485e-05,0.5072604065827686,0.0032722892653653983,-0.0034706528286994717,-0.013067211740268342
XLV,15m,state_session=afternoon + state_slope=flat,1033,-7.523098069127485e-05,short,7.523098069127485e-05,0.5072604065827686,0.0032722892653653983,-0.0034706528286994717,-0.013067211740268342
KMB,15m,state_ext=neutral + state_vol=mid_vol,2109,7.521516348918347e-05,long,7.521516348918347e-05,0.5149359886201992,0.003952615417211255,-0.003879196033038306,0.009714237972653847
SHY,15m,state_session=afternoon + state_slope=uptrend,500,-7.512980061839514e-05,short,7.512980061839514e-05,0.462,0.00022553867427553898,-0.0003022552802423939,-0.08556934143730247
SHY,15m,state_session=afternoon + state_ext=neutral + state_slope=uptrend,500,-7.512980061839514e-05,short,7.512980061839514e-05,0.462,0.00022553867427553898,-0.0003022552802423939,-0.08556934143730247
MDT,15m,state_session=lunch + state_ext=neutral + state_slope=downtrend,716,-7.509906343593414e-05,short,7.509906343593414e-05,0.5,0.0026539450147822783,-0.002754780475075816,-0.020276108659623742
COST,15m,state_ext=neutral + state_vol=high_vol,1887,7.487182820779345e-05,long,7.487182820779345e-05,0.5166931637519873,0.0030912632398150614,-0.0029646314455240904,0.015042579173075707
SOXX,15m,state_session=morning + state_ext=neutral + state_slope=uptrend,336,7.473989930657622e-05,long,7.473989930657622e-05,0.5833333333333334,0.004220615213467334,-0.004793487858202741,0.010473756459781712
XLB,15m,state_session=morning + state_slope=flat,626,7.465327097314697e-05,long,7.465327097314697e-05,0.5287539936102237,0.002857985658328065,-0.002710592733225022,0.018452383643835803
QQQ,15m,state_session=morning + state_slope=uptrend,3398,7.464147187058385e-05,long,7.464147187058385e-05,0.5515008828722778,0.0030999994785897637,-0.003342828773533282,0.01530165480538964
LIN,15m,state_session=morning + state_slope=uptrend,672,7.452346057475388e-05,long,7.452346057475388e-05,0.4836309523809524,0.0032396643433658025,-0.0029698057126759554,0.01645536807901433
WMT,15m,state_session=morning + state_slope=flat,665,-7.441305305606205e-05,short,7.441305305606205e-05,0.518796992481203,0.0034992789766612096,-0.0037825865013420656,-0.014520311424989675
HON,15m,state_session=morning + state_ext=neutral,1751,-7.437062091572214e-05,short,7.437062091572214e-05,0.5019988577955454,0.0034394938095391077,-0.0035887425393488505,-0.013628193532514255
WFC,15m,state_session=afternoon + state_ext=neutral + state_slope=uptrend,664,7.402774978539401e-05,long,7.402774978539401e-05,0.5240963855421686,0.005180759979976228,-0.005780590144766953,0.0073145040981949
GM,15m,state_session=morning + state_ext=neutral + state_slope=flat,593,-7.396647106922558e-05,short,7.396647106922558e-05,0.5075885328836425,0.00408437206374874,-0.004448045038803522,-0.01249572422268176
INTC,15m,state_session=lunch + state_ext=neutral + state_slope=flat,459,7.389490954087439e-05,long,7.389490954087439e-05,0.514161220043573,0.005703059376698819,-0.006169145553738266,0.009566982792964888
EEM,15m,state_session=morning + state_ext=neutral,1796,7.387929773873268e-05,long,7.387929773873268e-05,0.5467706013363028,0.0023506800313480136,-0.0024920995530332652,0.018911557053434426
XLK,15m,state_session=lunch + state_slope=downtrend,3629,-7.383739819310667e-05,short,7.383739819310667e-05,0.49765775695783965,0.0030299577452806248,-0.003184847185485058,-0.015659648119784954
XLC,15m,state_session=lunch + state_ext=neutral + state_slope=downtrend,779,-7.380385444239704e-05,short,7.380385444239704e-05,0.4980744544287548,0.0017272646042168992,-0.0018407193394167607,-0.030573723338314866
VZ,15m,state_session=lunch + state_slope=flat,465,7.366704256319976e-05,long,7.366704256319976e-05,0.4989247311827957,0.0021550436437012353,-0.0020717112843004976,0.026953912423641112
VRTX,15m,state_ext=neutral + state_slope=downtrend,1912,7.362872981208307e-05,long,7.362872981208307e-05,0.4696652719665272,0.004340052387158973,-0.0042168894213735885,0.010701803233042836
IBIT,15m,state_session=afternoon + state_ext=neutral + state_slope=downtrend,542,7.35746356000572e-05,long,7.35746356000572e-05,0.5055350553505535,0.008066220083615922,-0.008307506236539319,0.0047492575327563406
RTX,15m,state_session=lunch + state_ext=neutral + state_slope=downtrend,707,-7.347524803093703e-05,short,7.347524803093703e-05,0.4893917963224894,0.0026764958753086147,-0.002735500710961142,-0.01913707309225718
HD,15m,state_session=morning + state_ext=neutral,1712,7.322186221926853e-05,long,7.322186221926853e-05,0.48598130841121495,0.0036284050285124714,-0.003544530362571358,0.013431499350378472
XRT,15m,state_session=lunch + state_slope=downtrend,789,-7.311658781026267e-05,short,7.311658781026267e-05,0.47275031685678076,0.002474274399812468,-0.0026611439189883146,-0.019594973995576286
CRV/USD,15m,state_session=lunch + state_ext=stretched_down,395,-7.300208311852198e-05,short,7.300208311852198e-05,0.5443037974683544,0.031252512566737674,-0.012996169513607407,-0.005713644187636974
JNK,15m,state_ext=neutral + state_vol=low_vol,2135,-7.289050267146442e-05,short,7.289050267146442e-05,0.5002341920374708,0.00042137831708947764,-0.0005339802662603094,-0.06546025752357398
TXN,15m,state_session=lunch + state_slope=flat,475,7.282406299194907e-05,long,7.282406299194907e-05,0.5263157894736842,0.0031314894632212555,-0.0030275417749497913,0.017779923070198555
KRE,15m,state_session=lunch + state_ext=neutral,1899,7.278945047472589e-05,long,7.278945047472589e-05,0.4928909952606635,0.002764923015749775,-0.002713676643555735,0.020034484280900287
UNG,15m,state_ext=neutral + state_slope=flat,1941,7.269018735531088e-05,long,7.269018735531088e-05,0.512107161257084,0.00734131741439107,-0.007363590839466028,0.00467124555263132
PDD,15m,state_session=morning + state_slope=uptrend,742,-7.261725908594306e-05,short,7.261725908594306e-05,0.48517520215633425,0.005220996344428149,-0.004908958116340501,-0.009763531414148922
BTC/USD,15m,state_session=afternoon + state_slope=flat,5005,-7.257641079424494e-05,short,7.257641079424494e-05,0.4999000999000999,0.00335992176732788,-0.0030117937342377167,-0.018560122580689883
HUM,15m,state_ext=stretched_down + state_vol=high_vol,280,7.244675530897669e-05,long,7.244675530897669e-05,0.575,0.008639771230948397,-0.00911285536110193,0.004873739073058151
UNH,15m,state_session=lunch + state_ext=neutral + state_slope=flat,411,-7.213747800191835e-05,short,7.213747800191835e-05,0.5012165450121655,0.002994254831036099,-0.0031100699269636088,-0.019130797100032997
UNH,15m,state_session=lunch + state_slope=flat,411,-7.213747800191835e-05,short,7.213747800191835e-05,0.5012165450121655,0.002994254831036099,-0.0031100699269636088,-0.019130797100032997
HYG,15m,state_ext=neutral + state_slope=flat,2147,-7.199300264308628e-05,short,7.199300264308628e-05,0.48579413134606425,0.0004783964507622435,-0.0005890465099923644,-0.06868491751889086
