symbol,timeframe,slice_combination,side,short_cost_bps,train_n,train_mean_ret_costadj,train_baseline_mean_ret_costadj,train_excess_vs_baseline,train_best_parent_filter,train_best_parent_mean_ret_costadj,train_excess_vs_best_parent,train_t_stat_nw,train_pass,valid_n,valid_mean_ret_costadj,valid_baseline_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_best_parent_mean_ret_costadj,valid_excess_vs_best_parent,valid_t_stat_nw,valid_p_value_nw,valid_pass,walk_forward_folds,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,survived,verdict
UPS,15m,state_session=morning + state_ext=neutral + state_slope=downtrend,long,0.0,375,0.0006619089745852826,-0.00022211968890223388,0.0008840286634875165,state_session=morning + state_slope=downtrend,0.00023146249917302132,0.0004304464754122613,1.5319402666911872,False,154,0.0001813534681410974,0.00013300836834567728,4.834509979542012e-05,state_slope=downtrend,0.0005765328730955871,-0.0003951794049544897,0.31431943637631116,0.7532784376489929,False,4,0,0000,0.0,False,rejected
MCD,15m,state_session=afternoon + state_slope=flat,long,0.0,796,7.976924437913598e-07,-6.541513813044129e-05,6.621283057423265e-05,state_slope=flat,6.346486689599255e-05,-6.266717445220118e-05,0.0021004209344755416,False,234,0.0001812431761090766,-0.000612192066029739,0.0007934352421388156,state_slope=flat,-0.00035677874026635405,0.0005380219163754307,0.279205848702387,0.7800868554395346,False,4,0,0000,0.0,False,rejected
MCD,15m,state_session=afternoon + state_ext=neutral + state_slope=flat,long,0.0,796,7.976924437913598e-07,-6.541513813044129e-05,6.621283057423265e-05,state_session=afternoon + state_ext=neutral,6.417697935810597e-05,-6.33792869143146e-05,0.0021004209344755416,False,234,0.0001812431761090766,-0.000612192066029739,0.0007934352421388156,state_session=afternoon + state_slope=flat,0.0001812431761090766,0.0,0.279205848702387,0.7800868554395346,False,4,0,0000,0.0,False,rejected
DASH,15m,state_ext=neutral + state_vol=mid_vol,short,0.0,1281,0.00029021304289532466,0.0001039854866852644,0.00018622755621006026,state_vol=mid_vol,0.00032356215763662945,-3.334911474130479e-05,0.45605534142838733,False,524,0.00018047480981820413,-0.0006036864190219604,0.0007841612288401646,state_vol=mid_vol,0.00012179338189863877,5.868142791956536e-05,0.18863371342640217,0.8503799076509353,False,4,0,0000,0.0,False,rejected
PEP,15m,state_session=afternoon + state_ext=neutral,long,0.0,1724,0.00014218461205380768,-5.82489676540055e-06,0.00014800950881920823,state_session=afternoon,0.0001430862521948585,-9.016401410508277e-07,0.3689512394055188,False,745,0.00017960956768237345,-0.00041482789482012603,0.0005944374625024995,state_session=afternoon,0.00017960956768237345,0.0,0.34737411763648507,0.7283102752607493,False,4,0,0000,0.0,False,rejected
SOL/USD,15m,state_session=morning + state_ext=neutral + state_slope=uptrend,short,0.0,3349,0.00017136344192140835,-0.00014995363014886598,0.00032131707207027434,state_session=morning,0.00014563460730226957,2.5728834619138783e-05,0.6181172153200345,False,1225,0.0001793780857951812,-0.00015612151453180988,0.0003354996003269911,state_session=morning + state_slope=uptrend,0.00013760228066104357,4.1775805134137636e-05,0.5518691941363697,0.5810379758249278,False,4,0,0000,0.0,False,rejected
XYZ,15m,state_session=lunch + state_ext=neutral,short,0.0,1134,1.1302420786940881e-05,-0.00014558029148592898,0.00015688271227286987,state_session=lunch,9.9018259156658e-05,-8.771583836971712e-05,0.029004889082307465,False,460,0.000179289716557754,-0.0009689130631116182,0.0011482027796693721,state_session=lunch,-0.00011956704556227653,0.0002988567621200305,0.32079365238275787,0.7483667700481,False,4,0,0000,0.0,False,rejected
UNH,15m,state_session=lunch + state_ext=neutral,short,0.0,1213,-0.00013286733748786624,-0.0001967803198412505,6.391298235338427e-05,state_ext=neutral,-0.00014768779611495805,1.4820458627091813e-05,-0.621248704299433,False,544,0.0001788135746253873,-0.0012441381763736777,0.001422951750999065,state_session=lunch,-4.762219808050021e-05,0.0002264357727058875,0.6241003819143399,0.5325616631239962,False,4,0,0000,0.0,False,rejected
AMD,15m,state_session=lunch + state_ext=stretched_down + state_slope=downtrend,long,0.0,151,-0.0003516028706775748,0.000377849681840602,-0.0007294525525181768,state_ext=stretched_down + state_slope=downtrend,0.0020871829182423896,-0.0024387857889199643,-0.3323623300671971,False,101,0.00017859660029563617,0.0024558273725348114,-0.0022772307722391753,state_slope=downtrend,0.0018761813783376676,-0.0016975847780420314,0.09390774347038885,0.9251824426237525,False,4,0,0000,0.0,False,rejected
SBUX,15m,state_session=morning + state_slope=flat,long,0.0,439,0.00034664447395218453,-0.00012557965299947718,0.0004722241269516617,state_slope=flat,0.00032062210675158143,2.6022367200603097e-05,0.8285109204479676,False,173,0.00017828235031427798,-1.1950970256197896e-05,0.00019023332057047586,state_slope=flat,0.0006437142385835415,-0.00046543188826926347,0.27780582588340047,0.7811614187509199,False,4,0,0000,0.0,False,rejected
