kind,action,symbol,reason,stop_price,order_id,timestamp_utc,logged_at_utc,r_per_share,r_dollars,atr,stage,qty,unrealized_r,autonomous_fill_journaled,fill_price,order_status,error,slice_combination,stable_filter,current_stable_state,bars_held,horizon_bars,timeframe,r_multiple_suppressed_horizon,context_source,blocked_reasons,bin_mode,matched,tradable,side,current_state,bar_ts_utc,close_adj,suggested_qty,suggested_side,suggested_notional,risk_group,regime_symbol,regime,regime_favourable,regime_close,regime_short_ma,regime_long_ma,sizing_mode,sizing_conviction,sizing_target_notional,sizing_atr,sizing_qty_notional,sizing_qty_risk,sizing_expected_cost_bps_rt,risk_check,slice_label,exit_horizon,stop_atr_mult
stop_intent,stop_unchanged,KLAC,,174.82,,2026-07-20T09:37:06.649187+00:00,2026-07-20T09:48:14.140955+00:00,,,,initial,9.0,-0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entry_signal,enter,DOT/USD,,,,2026-07-20T09:46:02.060703+00:00,2026-07-20T09:48:14.364774+00:00,,,,,611.0,,,,rejected,"{""code"":42210000,""message"":""invalid crypto time_in_force""}",cross_ETH/USD_state_slope=uptrend + state_slope=flat,,,,,1d,,,,rolling,True,True,short,"{'state_ext': 'stretched_down', 'state_slope': 'flat', 'state_vol': 'low_vol', 'state_volume': 'vol_surge', 'state_session': 'afternoon', 'state_dow': 'Sun', 'state_utc_session': 'utc_asia', 'state_weekpart': 'weekend', 'state_ret_1': 'ret_down', 'state_ret_3': 'ret_down', 'state_ret_5': 'ret_flat', 'state_ret_10': 'ret_flat', 'state_ret_20': 'ret_flat', 'state_atr_ext': 'atr_neutral', 'state_vol_regime': 'vol_regime_low', 'state_trend_strength': 'weak_trend', 'state_gap': 'gap_down', 'state_range_pos': 'range_low', 'state_ret_day': 'ret_day_down', 'state_vol_day': 'vol_day_low', 'state_funding': nan, 'state_oi': 'oi_building', 'state_cot': 'cot_neutral', 'state_vix': 'vix_mid', 'state_breadth': 'breadth_mixed', 'state_dxy': 'dxy_flat', 'cross_ETH/USD_state_slope': 'uptrend'}",2026-07-19 00:00:00+00:00,0.8182129859924316,611.0,sell,499.9281344413757,cross_ETH/USD_state_slope=uptrend + state_slope=flat,DOT/USD,gate_disabled,True,,,,conviction_with_vol_rail,1.0,500.0,0.0382,611.0,13109.0,30.0,"{'allowed': True, 'reasons': [], 'details': {'symbol': 'DOT/USD', 'qty': 611, 'price': 0.8182129859924316, 'side': 'short', 'notional': 499.92813444137573, 'open_position_count': 2, 'today_realized_pnl': 0.0, 'risk_group': 'cross_ETH/USD_state_slope=uptrend + state_slope=flat', 'aggregate_risk': {'current_open_risk_dollars': 380.97, 'proposed_r_dollars': 46.68, 'projected_open_risk_dollars': 427.65, 'budget_dollars': 2003.05, 'max_aggregate_open_risk_pct': 0.02}, 'gross_notional': {'current_open_notional': 1939.5, 'proposed_notional': 499.93, 'projected_open_notional': 2439.43, 'budget_notional': 100152.3, 'target_leverage_multiple': 1.0}, 'margin_cushion': {'reason': 'margin cushion check inactive (missing buying_power/equity/multiple/cushion)'}, 'reconciliation_health': {'ok': True, 'total_order_ids': 2, 'resolved_order_ids': 2, 'unresolved_order_ids': [], 'errors': [], 'reason': 'ok'}}}",cross_ETH/USD_state_slope=uptrend + state_slope=flat,,
stop_intent,stop_unchanged,KLAC,,174.82,,2026-07-20T10:37:37.294134+00:00,2026-07-20T10:52:56.274991+00:00,,,,initial,9.0,-0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entry_signal,enter,DOT/USD,,,,2026-07-20T10:50:07.927220+00:00,2026-07-20T10:52:56.507895+00:00,,,,,611.0,,,,rejected,"{""code"":42210000,""message"":""invalid crypto time_in_force""}",cross_ETH/USD_state_slope=uptrend + state_slope=flat,,,,,1d,,,,rolling,True,True,short,"{'state_ext': 'stretched_down', 'state_slope': 'flat', 'state_vol': 'low_vol', 'state_volume': 'vol_surge', 'state_session': 'afternoon', 'state_dow': 'Sun', 'state_utc_session': 'utc_asia', 'state_weekpart': 'weekend', 'state_ret_1': 'ret_down', 'state_ret_3': 'ret_down', 'state_ret_5': 'ret_flat', 'state_ret_10': 'ret_flat', 'state_ret_20': 'ret_flat', 'state_atr_ext': 'atr_neutral', 'state_vol_regime': 'vol_regime_low', 'state_trend_strength': 'weak_trend', 'state_gap': 'gap_down', 'state_range_pos': 'range_low', 'state_ret_day': 'ret_day_down', 'state_vol_day': 'vol_day_low', 'state_funding': nan, 'state_oi': 'oi_building', 'state_cot': 'cot_neutral', 'state_vix': 'vix_mid', 'state_breadth': 'breadth_mixed', 'state_dxy': 'dxy_flat', 'cross_ETH/USD_state_slope': 'uptrend'}",2026-07-19 00:00:00+00:00,0.8182129859924316,611.0,sell,499.9281344413757,cross_ETH/USD_state_slope=uptrend + state_slope=flat,DOT/USD,gate_disabled,True,,,,conviction_with_vol_rail,1.0,500.0,0.0382,611.0,13110.0,30.0,"{'allowed': True, 'reasons': [], 'details': {'symbol': 'DOT/USD', 'qty': 611, 'price': 0.8182129859924316, 'side': 'short', 'notional': 499.92813444137573, 'open_position_count': 2, 'today_realized_pnl': 0.0, 'risk_group': 'cross_ETH/USD_state_slope=uptrend + state_slope=flat', 'aggregate_risk': {'current_open_risk_dollars': 380.97, 'proposed_r_dollars': 46.68, 'projected_open_risk_dollars': 427.65, 'budget_dollars': 2003.25, 'max_aggregate_open_risk_pct': 0.02}, 'gross_notional': {'current_open_notional': 1949.76, 'proposed_notional': 499.93, 'projected_open_notional': 2449.69, 'budget_notional': 100162.56, 'target_leverage_multiple': 1.0}, 'margin_cushion': {'reason': 'margin cushion check inactive (missing buying_power/equity/multiple/cushion)'}, 'reconciliation_health': {'ok': True, 'total_order_ids': 2, 'resolved_order_ids': 2, 'unresolved_order_ids': [], 'errors': [], 'reason': 'ok'}}}",cross_ETH/USD_state_slope=uptrend + state_slope=flat,,
stop_intent,stop_unchanged,KLAC,,174.82,,2026-07-20T11:37:03.281688+00:00,2026-07-20T11:48:42.278860+00:00,,,,initial,9.0,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entry_signal,enter,DOT/USD,,,,2026-07-20T11:46:16.574268+00:00,2026-07-20T11:48:42.493771+00:00,,,,,611.0,,,,rejected,"{""code"":42210000,""message"":""invalid crypto time_in_force""}",cross_ETH/USD_state_slope=uptrend + state_slope=flat,,,,,1d,,,,rolling,True,True,short,"{'state_ext': 'stretched_down', 'state_slope': 'flat', 'state_vol': 'low_vol', 'state_volume': 'vol_surge', 'state_session': 'afternoon', 'state_dow': 'Sun', 'state_utc_session': 'utc_asia', 'state_weekpart': 'weekend', 'state_ret_1': 'ret_down', 'state_ret_3': 'ret_down', 'state_ret_5': 'ret_flat', 'state_ret_10': 'ret_flat', 'state_ret_20': 'ret_flat', 'state_atr_ext': 'atr_neutral', 'state_vol_regime': 'vol_regime_low', 'state_trend_strength': 'weak_trend', 'state_gap': 'gap_down', 'state_range_pos': 'range_low', 'state_ret_day': 'ret_day_down', 'state_vol_day': 'vol_day_low', 'state_funding': nan, 'state_oi': 'oi_building', 'state_cot': 'cot_neutral', 'state_vix': 'vix_mid', 'state_breadth': 'breadth_mixed', 'state_dxy': 'dxy_flat', 'cross_ETH/USD_state_slope': 'uptrend'}",2026-07-19 00:00:00+00:00,0.8182129859924316,611.0,sell,499.9281344413757,cross_ETH/USD_state_slope=uptrend + state_slope=flat,DOT/USD,gate_disabled,True,,,,conviction_with_vol_rail,1.0,500.0,0.0382,611.0,13114.0,30.0,"{'allowed': True, 'reasons': [], 'details': {'symbol': 'DOT/USD', 'qty': 611, 'price': 0.8182129859924316, 'side': 'short', 'notional': 499.92813444137573, 'open_position_count': 2, 'today_realized_pnl': 0.0, 'risk_group': 'cross_ETH/USD_state_slope=uptrend + state_slope=flat', 'aggregate_risk': {'current_open_risk_dollars': 380.97, 'proposed_r_dollars': 46.68, 'projected_open_risk_dollars': 427.65, 'budget_dollars': 2003.86, 'max_aggregate_open_risk_pct': 0.02}, 'gross_notional': {'current_open_notional': 1980.0, 'proposed_notional': 499.93, 'projected_open_notional': 2479.93, 'budget_notional': 100192.8, 'target_leverage_multiple': 1.0}, 'margin_cushion': {'reason': 'margin cushion check inactive (missing buying_power/equity/multiple/cushion)'}, 'reconciliation_health': {'ok': True, 'total_order_ids': 2, 'resolved_order_ids': 2, 'unresolved_order_ids': [], 'errors': [], 'reason': 'ok'}}}",cross_ETH/USD_state_slope=uptrend + state_slope=flat,,
stop_intent,stop_unchanged,KLAC,,174.82,,2026-07-20T12:37:48.063655+00:00,2026-07-20T12:49:36.065875+00:00,,,,initial,9.0,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entry_signal,enter,DOT/USD,,,,2026-07-20T12:47:17.638931+00:00,2026-07-20T12:49:36.327869+00:00,,,,,611.0,,,,rejected,"{""code"":42210000,""message"":""invalid crypto time_in_force""}",cross_ETH/USD_state_slope=uptrend + state_slope=flat,,,,,1d,,,,rolling,True,True,short,"{'state_ext': 'stretched_down', 'state_slope': 'flat', 'state_vol': 'low_vol', 'state_volume': 'vol_surge', 'state_session': 'afternoon', 'state_dow': 'Sun', 'state_utc_session': 'utc_asia', 'state_weekpart': 'weekend', 'state_ret_1': 'ret_down', 'state_ret_3': 'ret_down', 'state_ret_5': 'ret_flat', 'state_ret_10': 'ret_flat', 'state_ret_20': 'ret_flat', 'state_atr_ext': 'atr_neutral', 'state_vol_regime': 'vol_regime_low', 'state_trend_strength': 'weak_trend', 'state_gap': 'gap_down', 'state_range_pos': 'range_low', 'state_ret_day': 'ret_day_down', 'state_vol_day': 'vol_day_low', 'state_funding': nan, 'state_oi': 'oi_building', 'state_cot': 'cot_neutral', 'state_vix': 'vix_mid', 'state_breadth': 'breadth_mixed', 'state_dxy': 'dxy_flat', 'cross_ETH/USD_state_slope': 'uptrend'}",2026-07-19 00:00:00+00:00,0.8182129859924316,611.0,sell,499.9281344413757,cross_ETH/USD_state_slope=uptrend + state_slope=flat,DOT/USD,gate_disabled,True,,,,conviction_with_vol_rail,1.0,500.0,0.0382,611.0,13114.0,30.0,"{'allowed': True, 'reasons': [], 'details': {'symbol': 'DOT/USD', 'qty': 611, 'price': 0.8182129859924316, 'side': 'short', 'notional': 499.92813444137573, 'open_position_count': 2, 'today_realized_pnl': 0.0, 'risk_group': 'cross_ETH/USD_state_slope=uptrend + state_slope=flat', 'aggregate_risk': {'current_open_risk_dollars': 380.97, 'proposed_r_dollars': 46.68, 'projected_open_risk_dollars': 427.65, 'budget_dollars': 2003.86, 'max_aggregate_open_risk_pct': 0.02}, 'gross_notional': {'current_open_notional': 1980.0, 'proposed_notional': 499.93, 'projected_open_notional': 2479.93, 'budget_notional': 100192.8, 'target_leverage_multiple': 1.0}, 'margin_cushion': {'reason': 'margin cushion check inactive (missing buying_power/equity/multiple/cushion)'}, 'reconciliation_health': {'ok': True, 'total_order_ids': 2, 'resolved_order_ids': 2, 'unresolved_order_ids': [], 'errors': [], 'reason': 'ok'}}}",cross_ETH/USD_state_slope=uptrend + state_slope=flat,,
stop_intent,stop_unchanged,KLAC,,174.82,,2026-07-20T13:37:18.416228+00:00,2026-07-20T13:51:59.248968+00:00,,,,initial,9.0,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entry_signal,enter,DOT/USD,,,,2026-07-20T13:49:02.156220+00:00,2026-07-20T13:51:59.409323+00:00,,,,,611.0,,,,rejected,"{""code"":42210000,""message"":""invalid crypto time_in_force""}",cross_ETH/USD_state_slope=uptrend + state_slope=flat,,,,,1d,,,,rolling,True,True,short,"{'state_ext': 'stretched_down', 'state_slope': 'flat', 'state_vol': 'low_vol', 'state_volume': 'vol_surge', 'state_session': 'afternoon', 'state_dow': 'Sun', 'state_utc_session': 'utc_asia', 'state_weekpart': 'weekend', 'state_ret_1': 'ret_down', 'state_ret_3': 'ret_down', 'state_ret_5': 'ret_flat', 'state_ret_10': 'ret_flat', 'state_ret_20': 'ret_flat', 'state_atr_ext': 'atr_neutral', 'state_vol_regime': 'vol_regime_low', 'state_trend_strength': 'weak_trend', 'state_gap': 'gap_down', 'state_range_pos': 'range_low', 'state_ret_day': 'ret_day_down', 'state_vol_day': 'vol_day_low', 'state_funding': nan, 'state_oi': 'oi_building', 'state_cot': 'cot_neutral', 'state_vix': 'vix_mid', 'state_breadth': 'breadth_mixed', 'state_dxy': 'dxy_flat', 'cross_ETH/USD_state_slope': 'uptrend'}",2026-07-19 00:00:00+00:00,0.8182129859924316,611.0,sell,499.9281344413757,cross_ETH/USD_state_slope=uptrend + state_slope=flat,DOT/USD,gate_disabled,True,,,,conviction_with_vol_rail,1.0,500.0,0.0382,611.0,13113.0,30.0,"{'allowed': True, 'reasons': [], 'details': {'symbol': 'DOT/USD', 'qty': 611, 'price': 0.8182129859924316, 'side': 'short', 'notional': 499.92813444137573, 'open_position_count': 2, 'today_realized_pnl': 0.0, 'risk_group': 'cross_ETH/USD_state_slope=uptrend + state_slope=flat', 'aggregate_risk': {'current_open_risk_dollars': 380.97, 'proposed_r_dollars': 46.68, 'projected_open_risk_dollars': 427.65, 'budget_dollars': 2003.74, 'max_aggregate_open_risk_pct': 0.02}, 'gross_notional': {'current_open_notional': 1974.06, 'proposed_notional': 499.93, 'projected_open_notional': 2473.99, 'budget_notional': 100186.86, 'target_leverage_multiple': 1.0}, 'margin_cushion': {'reason': 'margin cushion check inactive (missing buying_power/equity/multiple/cushion)'}, 'reconciliation_health': {'ok': True, 'total_order_ids': 2, 'resolved_order_ids': 2, 'unresolved_order_ids': [], 'errors': [], 'reason': 'ok'}}}",cross_ETH/USD_state_slope=uptrend + state_slope=flat,,
