symbol,timeframe,slice_combination,window,diagnostic_status,window_start_utc,window_end_utc,window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_n,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_n,best_parent_mean_ret_costadj,excess_vs_best_parent,best_parent_p_value_nw
CVX,1d,state_ext=stretched_up + state_vol=high_vol,calendar_2026_ytd,ok,2026-01-02 05:00:00+00:00,2026-06-25 04:00:00+00:00,120,25,0.018496844069737093,0.76,1.8122404809376995,0.06994904665902046,False,120,0.0029786540014623895,0.015518190068274703,state_ext=stretched_up,64,0.01179897432316963,0.006697869746567463,0.10003935928026353
CVX,1d,state_ext=stretched_up + state_vol=high_vol,latest_12m,ok,2025-06-25 04:00:00+00:00,2026-06-25 04:00:00+00:00,252,25,0.018496844069737093,0.76,1.8122404809376995,0.06994904665902046,False,252,0.0033186359720641743,0.015178208097672919,state_ext=stretched_up,96,0.00505855301094534,0.013438291058791754,0.3645943572623471
CVX,1d,state_ext=stretched_up + state_vol=high_vol,latest_6m,ok,2025-12-26 05:00:00+00:00,2026-06-25 04:00:00+00:00,124,25,0.018496844069737093,0.76,1.8122404809376995,0.06994904665902046,False,124,0.004435214192021001,0.014061629877716092,state_ext=stretched_up,66,0.012403837696257726,0.006093006373479367,0.07638027623645227
AMD,1d,state_ext=stretched_up + state_slope=flat,all,ok,2021-07-06 04:00:00+00:00,2026-06-25 04:00:00+00:00,1249,120,0.04578886782305144,0.6833333333333333,3.533030897326325,0.00041082445562623526,True,1249,0.009915533663375893,0.03587333415967555,state_ext=stretched_up,561,0.01876452224099349,0.027024345582057952,0.005571244636944028
AMD,1d,state_ext=stretched_up + state_slope=flat,calendar_2024,ok,2024-01-02 05:00:00+00:00,2024-12-31 05:00:00+00:00,252,38,0.050419885971986315,0.8157894736842105,3.270366928166142,0.0010740806379716528,True,252,-0.00013468788553242403,0.05055457385751874,state_slope=flat,93,0.027603413278250562,0.022816472693735754,0.01783384536762833
AMD,1d,state_ext=stretched_up + state_slope=flat,calendar_2025,ok,2025-01-02 05:00:00+00:00,2025-12-31 05:00:00+00:00,250,21,0.0765101666654133,0.6666666666666666,1.5262155064076348,0.12695620293815058,False,250,0.014034908904043523,0.06247525776136978,state_ext=stretched_up,115,0.03595947417998322,0.04055069248543008,0.017238543351683955
AMD,1d,state_ext=stretched_up + state_slope=flat,calendar_2026_ytd,ok,2026-01-02 05:00:00+00:00,2026-06-25 04:00:00+00:00,120,20,0.04289230070574956,0.6,2.212846583895514,0.02690822440400087,True,120,0.04382582370671258,-0.0009335230009630199,state_ext=stretched_up,76,0.053228793392972006,-0.010336492687222448,0.016974846697565882
AMD,1d,state_ext=stretched_up + state_slope=flat,latest_12m,ok,2025-06-25 04:00:00+00:00,2026-06-25 04:00:00+00:00,252,26,0.0923962198160384,0.6538461538461539,2.3298810649292823,0.01981243806123123,True,252,0.03096051654548158,0.06143570327055682,state_ext=stretched_up,142,0.04832143155676546,0.04407478825927295,0.0038137233049522212
AMD,1d,state_ext=stretched_up + state_slope=flat,latest_6m,ok,2025-12-26 05:00:00+00:00,2026-06-25 04:00:00+00:00,124,20,0.04289230070574956,0.6,2.212846583895514,0.02690822440400087,True,124,0.04203061330136466,0.0008616874043849004,state_ext=stretched_up,76,0.053228793392972006,-0.010336492687222448,0.016974846697565882
DE,1d,state_ext=stretched_down + state_slope=downtrend,all,ok,2021-07-06 04:00:00+00:00,2026-06-25 04:00:00+00:00,1247,237,0.015778373862553284,0.6582278481012658,3.736467883243695,0.0001866232728633399,True,1247,0.0029586488456297315,0.012819725016923553,state_slope=downtrend,341,0.011156263030159028,0.004622110832394256,0.003379538405504867
DE,1d,state_ext=stretched_down + state_slope=downtrend,calendar_2024,ok,2024-01-02 05:00:00+00:00,2024-12-31 05:00:00+00:00,252,51,0.020813732891946143,0.7647058823529411,2.6858403707478775,0.007234764422287876,True,252,0.001445076719209833,0.01936865617273631,state_slope=downtrend,72,0.023944336143348247,-0.003130603251402103,0.0007968359333276887
DE,1d,state_ext=stretched_down + state_slope=downtrend,calendar_2025,ok,2025-01-02 05:00:00+00:00,2025-12-31 05:00:00+00:00,250,44,0.015615082907005447,0.5909090909090909,2.0623372947356655,0.03917563469034202,True,250,0.003189571039598989,0.012425511867406458,state_ext=stretched_down,66,0.01387443772018618,0.0017406451868192674,0.029413166461522255
DE,1d,state_ext=stretched_down + state_slope=downtrend,calendar_2026_ytd,ok,2026-01-02 05:00:00+00:00,2026-06-25 04:00:00+00:00,120,23,0.025125917755467513,0.6956521739130435,1.773181179060705,0.07619868970686694,False,120,0.011999735714611277,0.013126182040856235,state_slope=downtrend,36,0.016777226673599332,0.00834869108186818,0.1414562590050923
DE,1d,state_ext=stretched_down + state_slope=downtrend,latest_12m,ok,2025-06-25 04:00:00+00:00,2026-06-25 04:00:00+00:00,252,51,0.011913298199940634,0.5686274509803921,1.4963674278259818,0.1345579327403117,False,252,0.004547190180250461,0.007366108019690174,state_ext=stretched_down,77,0.008954965450584303,0.0029583327493563315,0.15093664540671625
DE,1d,state_ext=stretched_down + state_slope=downtrend,latest_6m,ok,2025-12-26 05:00:00+00:00,2026-06-25 04:00:00+00:00,124,23,0.025125917755467513,0.6956521739130435,1.773181179060705,0.07619868970686694,False,124,0.012524756384910423,0.01260116137055709,state_slope=downtrend,36,0.016777226673599332,0.00834869108186818,0.1414562590050923
XOP,1d,state_ext=stretched_down + state_slope=downtrend,all,ok,2021-07-06 04:00:00+00:00,2026-06-29 04:00:00+00:00,1251,260,0.011856784791312119,0.6346153846153846,2.5757259819413427,0.010002988405431346,True,1251,0.003018439600690455,0.008838345190621663,state_ext=stretched_down,384,0.009789547485135323,0.0020672373061767953,0.013518356780352292
XOP,1d,state_ext=stretched_down + state_slope=downtrend,calendar_2024,ok,2024-01-02 05:00:00+00:00,2024-12-31 05:00:00+00:00,252,62,0.017374668095409707,0.7419354838709677,2.4433699114199214,0.014550814397519929,True,252,0.0002561595840450791,0.01711850851136463,state_ext=stretched_down,87,0.011618733343330646,0.005755934752079061,0.06377675740444388
XOP,1d,state_ext=stretched_down + state_slope=downtrend,calendar_2025,ok,2025-01-02 05:00:00+00:00,2025-12-31 05:00:00+00:00,250,53,0.018783143231675244,0.7169811320754716,4.057840937929615,4.952848143391364e-05,True,250,-0.0005420366924220631,0.019325179924097307,state_slope=downtrend,78,0.016017278522165387,0.002765864709509857,0.0002985620677036227
XOP,1d,state_ext=stretched_down + state_slope=downtrend,calendar_2026_ytd,ok,2026-01-02 05:00:00+00:00,2026-06-29 04:00:00+00:00,122,29,0.011578408819900611,0.6551724137931034,1.0797607066030954,0.28024875297119545,False,122,0.00872540968747718,0.0028529991324234318,state_slope=downtrend,37,0.008327085809023933,0.0032513230108766784,0.40636789395454764
XOP,1d,state_ext=stretched_down + state_slope=downtrend,latest_12m,ok,2025-06-30 04:00:00+00:00,2026-06-29 04:00:00+00:00,251,54,0.011575167095166485,0.6666666666666666,1.926993329532586,0.05398046123960132,False,251,0.004241206590046792,0.007333960505119693,state_slope=downtrend,74,0.010046082533368975,0.0015290845617975096,0.08142804344924981
