order_id,symbol,qty,side,order_type,stop_price,time_in_force,status,submitted_at,action,timestamp_utc,broker_status,filled_qty,filled_avg_price,filled_at,reconciled_at_utc,error,avg_entry_price,current_price,limit_price,slice_label,entry_bar_ts,timeframe,bin_mode,client_order_id,prior_order_id,exit_horizon,stop_atr_mult
,DOT/USD,598.0,sell,limit,,,rejected,,entry,2026-07-19T21:50:19.625904+00:00,,,,,,"{""code"":42210000,""message"":""invalid crypto time_in_force""}",,,0.8359609842300415,cross_ETH/USD_state_slope=uptrend + state_slope=flat,2026-07-18 00:00:00+00:00,1d,rolling,price-crypto-DOT-USD-1d-sell-f219da45,,,
,DOT/USD,598.0,sell,limit,,,rejected,,entry,2026-07-19T22:49:28.647718+00:00,,,,,,"{""code"":42210000,""message"":""invalid crypto time_in_force""}",,,0.8359609842300415,cross_ETH/USD_state_slope=uptrend + state_slope=flat,2026-07-18 00:00:00+00:00,1d,rolling,price-crypto-DOT-USD-1d-sell-f219da45,,,
,DOT/USD,598.0,sell,limit,,,rejected,,entry,2026-07-19T23:55:46.561922+00:00,,,,,,"{""code"":42210000,""message"":""invalid crypto time_in_force""}",,,0.8359609842300415,cross_ETH/USD_state_slope=uptrend + state_slope=flat,2026-07-18 00:00:00+00:00,1d,rolling,price-crypto-DOT-USD-1d-sell-f219da45,,,
,DOT/USD,598.0,sell,limit,,,rejected,,entry,2026-07-20T00:49:55.242181+00:00,,,,,,"{""code"":42210000,""message"":""invalid crypto time_in_force""}",,,0.8359609842300415,cross_ETH/USD_state_slope=uptrend + state_slope=flat,2026-07-18 00:00:00+00:00,1d,rolling,price-crypto-DOT-USD-1d-sell-f219da45,,,
,DOT/USD,598.0,sell,limit,,,rejected,,entry,2026-07-20T03:22:41.836726+00:00,,,,,,"{""code"":42210000,""message"":""invalid crypto time_in_force""}",,,0.8359609842300415,cross_ETH/USD_state_slope=uptrend + state_slope=flat,2026-07-18 00:00:00+00:00,1d,rolling,price-crypto-DOT-USD-1d-sell-f219da45,,,
,DOT/USD,598.0,sell,limit,,,rejected,,entry,2026-07-20T03:48:55.414955+00:00,,,,,,"{""code"":42210000,""message"":""invalid crypto time_in_force""}",,,0.8359609842300415,cross_ETH/USD_state_slope=uptrend + state_slope=flat,2026-07-18 00:00:00+00:00,1d,rolling,price-crypto-DOT-USD-1d-sell-f219da45,,,
,DOT/USD,598.0,sell,limit,,,rejected,,entry,2026-07-20T04:47:28.623721+00:00,,,,,,"{""code"":42210000,""message"":""invalid crypto time_in_force""}",,,0.8359609842300415,cross_ETH/USD_state_slope=uptrend + state_slope=flat,2026-07-18 00:00:00+00:00,1d,rolling,price-crypto-DOT-USD-1d-sell-f219da45,,,
,DOT/USD,598.0,sell,limit,,,rejected,,entry,2026-07-20T05:47:49.807421+00:00,,,,,,"{""code"":42210000,""message"":""invalid crypto time_in_force""}",,,0.8359609842300415,cross_ETH/USD_state_slope=uptrend + state_slope=flat,2026-07-18 00:00:00+00:00,1d,rolling,price-crypto-DOT-USD-1d-sell-f219da45,,,
,DOT/USD,611.0,sell,limit,,,rejected,,entry,2026-07-20T06:47:46.048691+00:00,,,,,,"{""code"":42210000,""message"":""invalid crypto time_in_force""}",,,0.8182129859924316,cross_ETH/USD_state_slope=uptrend + state_slope=flat,2026-07-19 00:00:00+00:00,1d,rolling,price-crypto-DOT-USD-1d-sell-b5ce22fb,,,
,DOT/USD,611.0,sell,limit,,,rejected,,entry,2026-07-20T07:55:41.031798+00:00,,,,,,"{""code"":42210000,""message"":""invalid crypto time_in_force""}",,,0.8182129859924316,cross_ETH/USD_state_slope=uptrend + state_slope=flat,2026-07-19 00:00:00+00:00,1d,rolling,price-crypto-DOT-USD-1d-sell-b5ce22fb,,,
,DOT/USD,611.0,sell,limit,,,rejected,,entry,2026-07-20T08:49:16.037532+00:00,,,,,,"{""code"":42210000,""message"":""invalid crypto time_in_force""}",,,0.8182129859924316,cross_ETH/USD_state_slope=uptrend + state_slope=flat,2026-07-19 00:00:00+00:00,1d,rolling,price-crypto-DOT-USD-1d-sell-b5ce22fb,,,
