symbol,timeframe,slice_combination,side,short_cost_bps,train_n,train_mean_ret_costadj,train_baseline_mean_ret_costadj,train_excess_vs_baseline,train_best_parent_filter,train_best_parent_mean_ret_costadj,train_excess_vs_best_parent,train_t_stat_nw,train_pass,valid_n,valid_mean_ret_costadj,valid_baseline_mean_ret_costadj,valid_excess_vs_baseline,valid_best_parent_filter,valid_best_parent_mean_ret_costadj,valid_excess_vs_best_parent,valid_t_stat_nw,valid_p_value_nw,valid_pass,walk_forward_folds,walk_forward_pass_count,walk_forward_pass_pattern,walk_forward_survival_rate,survived,verdict
BAC,1d,state_ext=neutral + state_slope=uptrend,short,0.0,35,0.011459458458532338,-0.001659300489233158,0.013118758947765496,state_slope=uptrend,0.0005644798481961415,0.010894978610336196,1.4874060918168652,False,14,-0.0019725348645804317,-0.004537931790143696,0.0025653969255632647,state_ext=neutral,0.00740534626583624,-0.009377881130416672,-0.2017339095264713,0.8401247515987014,False,4,0,0000,0.0,False,rejected
HON,1d,state_ext=stretched_up + state_vol=high_vol,long,0.0,68,0.014860374392519382,0.00038998965656870363,0.014470384735950678,state_vol=high_vol,0.003988504558989751,0.010871869833529632,2.0835513559128835,True,69,-0.0019774722856647736,0.0003471616432857743,-0.002324633928950548,state_vol=high_vol,0.004308631832394506,-0.00628610411805928,-0.2445899422624651,0.8067739524754767,False,4,1,1000,0.25,False,rejected
TAN,1d,state_ext=neutral + state_slope=downtrend,long,0.0,38,0.007553775384561782,-0.004137334529132619,0.011691109913694401,state_slope=downtrend,0.0007806112503806926,0.00677316413418109,0.8750268509618941,False,18,-0.0019781322841752828,0.008227365468519824,-0.010205497752695107,state_ext=neutral,0.014723556615560985,-0.016701688899736267,-0.2102370023979083,0.8334827011184613,False,4,0,0000,0.0,False,rejected
XLF,1d,state_ext=stretched_up + state_vol=low_vol,long,0.0,123,0.0037626843731602814,0.002197510243722347,0.0015651741294379342,state_ext=stretched_up,0.0020620548949430084,0.001700629478217273,1.7720780276886556,False,20,-0.0019825618078388773,0.001816095588684205,-0.003798657396523082,state_ext=stretched_up,0.004435602669001538,-0.006418164476840415,-0.39594308941289846,0.6921470124201374,False,4,1,0100,0.25,False,rejected
F,1d,state_ext=stretched_up + state_slope=uptrend,long,0.0,231,0.006317630779988091,-0.0005619983531184615,0.006879629133106553,state_ext=stretched_up,0.0063985182654660655,-8.088748547797463e-05,0.7112092356525201,False,99,-0.0019914228832288183,0.005457734520258051,-0.007449157403486869,state_ext=stretched_up,-0.0024016354132219133,0.00041021252999309506,-0.18452730736131337,0.8535998067875261,False,4,0,0000,0.0,False,rejected
LOW,1d,state_ext=stretched_up + state_vol=low_vol,long,0.0,142,0.006760585939380218,0.0018307621690534163,0.004929823770326802,state_vol=low_vol,0.006942394242346159,-0.00018180830296594085,1.6570698499970276,False,17,-0.0020180006695870315,-0.001026466030386021,-0.0009915346392010106,state_vol=low_vol,0.0007146830471336139,-0.002732683716720645,-0.25297818038300873,0.8002850744175949,False,4,0,0000,0.0,False,rejected
ADI,1d,state_ext=stretched_up + state_slope=flat,short,0.0,93,0.002886807969029067,-0.0024327842457461655,0.005319592214775232,state_ext=stretched_up,0.0021252710686149763,0.0007615369004140907,0.5069054520439886,False,31,-0.00201848859455279,-0.009456520450009609,0.007438031855456819,state_slope=flat,-0.00374503291599156,0.0017265443214387701,-0.12536756586470885,0.9002325641877915,False,4,1,0010,0.25,False,rejected
ROKU,1d,state_ext=stretched_up + state_vol=low_vol,short,0.0,75,0.010953768999859507,0.004703147087668168,0.0062506219121913386,state_ext=stretched_up,0.019045746665379486,-0.00809197766551998,0.7790055713491335,False,99,-0.002023363522504619,-0.010668139343829442,0.008644775821324824,state_ext=stretched_up,-0.003877975525957321,0.0018546120034527024,-0.25971340150339073,0.7950848543778899,False,4,1,0100,0.25,False,rejected
KBE,1d,state_ext=neutral + state_vol=low_vol,long,0.0,80,0.0016374885250016236,0.0012566917419076637,0.00038079678309396,state_ext=neutral,0.00046998111073644433,0.0011675074142651794,0.297810419846569,False,70,-0.002032497807130391,0.003038740580845541,-0.005071238387975932,state_vol=low_vol,0.003941801427116706,-0.005974299234247096,-0.45637653155772356,0.6481192388415655,False,4,0,0000,0.0,False,rejected
USO,1d,state_ext=stretched_up + state_vol=low_vol,long,0.0,159,0.012819276046772236,0.0031702394325127748,0.009649036614259462,state_vol=low_vol,0.007101458055577686,0.00571781799119455,2.4332569178658474,True,44,-0.0020348137628708094,0.006274480580955208,-0.008309294343826018,state_ext=stretched_up,0.015122723514619477,-0.017157537277490285,-0.11324287469522401,0.9098380051744619,False,4,0,0000,0.0,False,rejected
